Device;Device serial;ID;Date/Time;Value;Unit;Mode;Value2;Unit2;Mode2;Measurement;Calibration;Additional;Sensor;Sensor serial;User
Multi 3420; 16080683;1;05.06.2019 11:39:34;514;µS/cm;Cond;10,8;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 13480800;
Multi 3420; 16080683;1;05.06.2019 11:39:39;471;µS/cm;Cond;10,8;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 13480800;
Multi 3420; 16080683;1;05.06.2019 11:39:44;517;µS/cm;Cond;10,8;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 13480800;
Multi 3420; 16080683;1;05.06.2019 11:39:49;501;µS/cm;Cond;10,9;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 13480800;
Multi 3420; 16080683;1;05.06.2019 11:39:54;479;µS/cm;Cond;10,9;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 13480800;
Multi 3420; 16080683;1;05.06.2019 11:39:59;505;µS/cm;Cond;10,9;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 13480800;
Multi 3420; 16080683;1;05.06.2019 11:40:04;514;µS/cm;Cond;11,0;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 13480800;
Multi 3420; 16080683;1;05.06.2019 11:40:09;510;µS/cm;Cond;11,0;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 13480800;
Multi 3420; 16080683;1;05.06.2019 11:40:14;511;µS/cm;Cond;11,0;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 13480800;
Multi 3420; 16080683;1;05.06.2019 11:40:19;502;µS/cm;Cond;11,0;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 13480800;
Multi 3420; 16080683;1;05.06.2019 11:40:24;503;µS/cm;Cond;11,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 13480800;
Multi 3420; 16080683;1;05.06.2019 11:40:29;497;µS/cm;Cond;11,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 13480800;
Multi 3420; 16080683;1;05.06.2019 11:40:34;515;µS/cm;Cond;11,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 13480800;
Multi 3420; 16080683;1;05.06.2019 11:40:39;474;µS/cm;Cond;11,1;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 13480800;
Multi 3420; 16080683;1;05.06.2019 11:40:44;494;µS/cm;Cond;11,2;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 13480800;
Multi 3420; 16080683;1;05.06.2019 11:40:49;498;µS/cm;Cond;11,2;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 13480800;
Multi 3420; 16080683;1;05.06.2019 11:40:54;518;µS/cm;Cond;11,2;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 13480800;
Multi 3420; 16080683;1;05.06.2019 11:40:59;491;µS/cm;Cond;11,3;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 13480800;
Multi 3420; 16080683;1;05.06.2019 11:41:04;512;µS/cm;Cond;11,3;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 13480800;
Multi 3420; 16080683;1;05.06.2019 11:41:09;522;µS/cm;Cond;11,3;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 13480800;
Multi 3420; 16080683;1;05.06.2019 11:41:14;509;µS/cm;Cond;11,3;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 13480800;
Multi 3420; 16080683;1;05.06.2019 11:41:19;500;µS/cm;Cond;11,4;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 13480800;
Multi 3420; 16080683;1;05.06.2019 11:41:24;484;µS/cm;Cond;11,4;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 13480800;
Multi 3420; 16080683;1;05.06.2019 11:41:29;479;µS/cm;Cond;11,4;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 13480800;
Multi 3420; 16080683;1;05.06.2019 11:41:34;508;µS/cm;Cond;11,4;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 13480800;
Multi 3420; 16080683;1;05.06.2019 11:41:39;490;µS/cm;Cond;11,5;°C;Temp;;;C = 0,475 1/cm   Tref25   nLF;TetraCon 925-P; 13480800;
