Time ;depth, cm;Flow up, (Hz);Flow down, (Hz);..;
test;0.00;16.00;0.00;0.00;327824.000000
test;0.00;16.00;0.00;0.00;327824.000000
test;0.00;16.00;0.00;0.00;327824.000000
test;0.00;16.00;0.00;0.00;327824.000000
test;0.00;16.00;0.00;0.00;327824.000000
test;0.00;16.00;0.00;0.00;327824.000000
test;0.00;16.00;0.00;0.00;327824.000000
test;0.00;16.00;0.00;0.00;327824.000000
test;0.00;16.00;0.00;0.00;327824.000000
test;0.00;16.00;0.00;0.00;327824.000000
test;1.00;16.00;0.00;0.00;327824.000000
test;1.00;16.00;0.00;0.00;327824.000000
test;1.00;16.00;0.00;0.00;327824.000000
test;1.00;16.00;0.00;0.00;327824.000000
test;1.00;16.00;0.00;0.00;327824.000000
test;1.00;16.00;0.00;0.00;327824.000000
test;1.00;16.00;0.00;0.00;327824.000000
test;1.00;16.00;0.00;0.00;327824.000000
test;1.00;16.00;0.00;0.00;327824.000000
test;1.00;16.00;0.00;0.00;327824.000000
test;1.00;16.00;0.00;0.00;327824.000000
test;1.00;16.00;0.00;0.00;327824.000000
test;1.00;16.00;0.00;0.00;327824.000000
test;1.00;16.00;0.00;0.00;327824.000000
test;1.00;16.00;0.00;0.00;327824.000000
test;1.00;16.00;0.00;0.00;327824.000000
test;1.00;16.00;0.00;0.00;327824.000000
test;1.00;16.00;0.00;0.00;327824.000000
test;1.00;16.00;0.00;0.00;327824.000000
test;1.00;16.00;0.00;0.00;327824.000000
test;2.00;16.00;0.00;0.00;327824.000000
test;2.00;16.00;0.00;0.00;327824.000000
test;2.00;16.00;0.00;0.00;327824.000000
test;2.00;16.00;0.00;0.00;327824.000000
test;2.00;16.00;0.00;0.00;327824.000000
test;2.00;16.00;0.00;0.00;327824.000000
test;2.00;16.00;0.00;0.00;327824.000000
test;2.00;16.00;0.00;0.00;327824.000000
test;2.00;16.00;0.00;0.00;327824.000000
test;2.00;16.00;0.00;0.00;327824.000000
test;2.00;16.00;0.00;0.00;327824.000000
test;2.00;16.00;0.00;0.00;327824.000000
test;2.00;16.00;0.00;0.00;327824.000000
test;2.00;16.00;0.00;0.00;327824.000000
test;2.00;16.00;0.00;0.00;327824.000000
test;2.00;16.00;0.00;0.00;327824.000000
test;2.00;16.00;0.00;0.00;327824.000000
test;2.00;16.00;0.00;0.00;327824.000000
test;2.00;16.00;0.00;0.00;327824.000000
test;2.00;16.00;0.00;0.00;327824.000000
test;3.00;16.00;0.00;0.00;327824.000000
test;3.00;16.00;0.00;0.00;327824.000000
test;3.00;16.00;0.00;0.00;327824.000000
test;3.00;16.00;0.00;0.00;327824.000000
test;3.00;16.00;0.00;0.00;327824.000000
test;3.00;16.00;0.00;0.00;327824.000000
test;3.00;16.00;0.00;0.00;327824.000000
test;3.00;16.00;0.00;0.00;327824.000000
test;3.00;16.00;0.00;0.00;327824.000000
test;3.00;16.00;0.00;0.00;327824.000000
test;3.00;16.00;0.00;0.00;327824.000000
test;3.00;16.00;0.00;0.00;327824.000000
test;3.00;16.00;0.00;0.00;327824.000000
test;3.00;16.00;0.00;0.00;327824.000000
test;3.00;16.00;0.00;0.00;327824.000000
test;3.00;16.00;0.00;0.00;327824.000000
test;3.00;16.00;0.00;0.00;327824.000000
test;3.00;16.00;0.00;0.00;327824.000000
test;3.00;16.00;0.00;0.00;327824.000000
test;3.00;16.00;0.00;0.00;327824.000000
test;4.00;16.00;0.00;0.00;327824.000000
test;4.00;16.00;0.00;0.00;327824.000000
test;4.00;16.00;0.00;0.00;327824.000000
test;4.00;16.00;0.00;0.00;327824.000000
test;4.00;16.00;0.00;0.00;327824.000000
test;4.00;16.00;0.00;0.00;327824.000000
test;4.00;16.00;0.00;0.00;327824.000000
test;4.00;16.00;0.00;0.00;327824.000000
test;4.00;16.00;0.00;0.00;327824.000000
test;4.00;16.00;0.00;0.00;327824.000000
test;4.00;16.00;0.00;0.00;327824.000000
test;4.00;16.00;0.00;0.00;327824.000000
test;4.00;16.00;0.00;0.00;327824.000000
test;4.00;16.00;0.00;0.00;327824.000000
test;4.00;16.00;0.00;0.00;327824.000000
test;4.00;16.00;0.00;0.00;327824.000000
test;4.00;16.00;0.00;0.00;327824.000000
test;4.00;16.00;0.00;0.00;327824.000000
test;4.00;16.00;0.00;0.00;327824.000000
test;4.00;16.00;0.00;0.00;327824.000000
test;5.00;16.00;0.00;0.00;327824.000000
test;5.00;16.00;0.00;0.00;327824.000000
test;5.00;16.00;0.00;0.00;327824.000000
test;5.00;16.00;0.00;0.00;327824.000000
test;5.00;16.00;0.00;0.00;327824.000000
test;5.00;16.00;0.00;0.00;327824.000000
test;5.00;16.00;0.00;0.00;327824.000000
test;5.00;16.00;0.00;0.00;327824.000000
test;5.00;16.00;0.00;0.00;327824.000000
test;5.00;16.00;0.00;0.00;327824.000000
test;5.00;16.00;0.00;0.00;327824.000000
test;5.00;16.00;0.00;0.00;327824.000000
test;5.00;16.00;0.00;0.00;327824.000000
test;5.00;16.00;0.00;0.00;327824.000000
test;5.00;16.00;0.00;0.00;327824.000000
test;5.00;16.00;0.00;0.00;327824.000000
test;5.00;16.00;0.00;0.00;327824.000000
test;5.00;16.00;0.00;0.00;327824.000000
test;5.00;16.00;0.00;0.00;327824.000000
test;5.00;16.00;0.00;0.00;327824.000000
test;6.00;16.00;0.00;0.00;327824.000000
test;6.00;16.00;0.00;0.00;327824.000000
test;6.00;16.00;0.00;0.00;327824.000000
test;6.00;16.00;0.00;0.00;327824.000000
test;6.00;16.00;0.00;0.00;327824.000000
test;6.00;16.00;0.00;0.00;327824.000000
test;6.00;16.00;0.00;0.00;327824.000000
test;6.00;16.00;0.00;0.00;327824.000000
test;6.00;16.00;0.00;0.00;327824.000000
test;6.00;16.00;0.00;0.00;327824.000000
test;6.00;16.00;0.00;0.00;327824.000000
test;6.00;16.00;0.00;0.00;327824.000000
test;6.00;16.00;0.00;0.00;327824.000000
test;6.00;16.00;0.00;0.00;327824.000000
test;6.00;16.00;0.00;0.00;327824.000000
test;6.00;16.00;0.00;0.00;327824.000000
test;6.00;16.00;0.00;0.00;327824.000000
test;6.00;16.00;0.00;0.00;327824.000000
test;6.00;16.00;0.00;0.00;327824.000000
test;6.00;16.00;0.00;0.00;327824.000000
test;7.00;16.00;0.00;0.00;327824.000000
test;7.00;16.00;0.00;0.00;327824.000000
test;7.00;16.00;0.00;0.00;327824.000000
test;7.00;16.00;0.00;0.00;327824.000000
test;7.00;16.00;0.00;0.00;327824.000000
test;7.00;16.00;0.00;0.00;327824.000000
test;7.00;16.00;0.00;0.00;327824.000000
test;7.00;16.00;0.00;0.00;327824.000000
test;7.00;16.00;0.00;0.00;327824.000000
test;7.00;16.00;0.00;0.00;327824.000000
test;7.00;16.00;0.00;0.00;327824.000000
test;7.00;16.00;0.00;0.00;327824.000000
test;7.00;16.00;0.00;0.00;327824.000000
test;7.00;16.00;0.00;0.00;327824.000000
test;7.00;17.00;0.00;0.00;327824.000000
test;7.00;17.00;0.00;0.00;327824.000000
test;7.00;17.00;0.00;0.00;327824.000000
test;7.00;18.00;0.00;0.00;327824.000000
test;7.00;18.00;0.00;0.00;327824.000000
test;7.00;18.00;0.00;0.00;327824.000000
test;8.00;18.00;0.00;0.00;327824.000000
test;8.00;19.00;0.00;0.00;327824.000000
test;8.00;19.00;0.00;0.00;327824.000000
test;8.00;19.00;0.00;0.00;327824.000000
test;8.00;20.00;0.00;0.00;327824.000000
test;8.00;20.00;0.00;0.00;321537.000000
test;8.00;20.00;0.00;0.00;321537.000000
test;8.00;21.00;0.00;0.00;321537.000000
test;8.00;21.00;0.00;0.00;321537.000000
test;8.00;21.00;0.00;0.00;321537.000000
test;8.00;21.00;0.00;0.00;321537.000000
test;8.00;22.00;0.00;0.00;321537.000000
test;8.00;22.00;0.00;0.00;321537.000000
test;8.00;22.00;0.00;0.00;321537.000000
test;8.00;22.00;0.00;0.00;321537.000000
test;8.00;22.00;0.00;0.00;321537.000000
test;8.00;22.00;0.00;0.00;321537.000000
test;8.00;22.00;0.00;0.00;321537.000000
test;8.00;22.00;0.00;0.00;321537.000000
test;8.00;22.00;0.00;0.00;321537.000000
test;9.00;22.00;0.00;0.00;321537.000000
test;9.00;22.00;0.00;0.00;321537.000000
test;9.00;22.00;0.00;0.00;321537.000000
test;9.00;22.00;0.00;0.00;321537.000000
test;9.00;22.00;0.00;0.00;321537.000000
test;9.00;22.00;0.00;0.00;321537.000000
