ID,Time_ms,Depth_cm,FlowUP_Hz,FlowDN_Hz,N,Flow_Hz
Point measurement,0,1451,0,1.04,11982,-1.04
Point measurement,0,1451,0,1.04,11982,-1.04
Point measurement,0,1451,0,1.04,11982,-1.04
Point measurement,0,1451,0,1.04,11982,-1.04
Point measurement,0,1451,0,1.04,11982,-1.04
Point measurement,0,1451,0,1.04,11982,-1.04
Point measurement,0,1451,0,1.04,11982,-1.04
Point measurement,1,1451,0,1.04,11982,-1.04
Point measurement,1,1451,0,1.04,11982,-1.04
Point measurement,1,1451,0,1.04,11982,-1.04
Point measurement,1,1451,0,1.04,11982,-1.04
Point measurement,1,1451,0,1.04,11982,-1.04
Point measurement,1,1451,0,1.04,11982,-1.04
Point measurement,1,1451,0,1.04,11982,-1.04
Point measurement,1,1451,0,1.04,11982,-1.04
Point measurement,1,1451,0,1.04,11982,-1.04
Point measurement,1,1451,0,1.04,11982,-1.04
Point measurement,1,1451,0,1.04,11982,-1.04
Point measurement,1,1451,0,0,11982,0
Point measurement,1,1451,0,0,11982,0
Point measurement,1,1451,0,0,11982,0
Point measurement,1,1451,0,0,11982,0
Point measurement,1,1451,0,0,11982,0
Point measurement,1,1451,0,0,11982,0
Point measurement,1,1451,0,0,11982,0
Point measurement,1,1451,0,0,11982,0
Point measurement,1,1451,0,0,11982,0
Point measurement,2,1451,0,0,11982,0
Point measurement,2,1451,0,0,11982,0
Point measurement,2,1451,0,0,11982,0
Point measurement,2,1451,0,0,11982,0
Point measurement,2,1451,0,0,11982,0
Point measurement,2,1451,0,0,11982,0
Point measurement,2,1451,0,0,11982,0
Point measurement,2,1451,0,0,11982,0
Point measurement,2,1451,0,0,11982,0
Point measurement,2,1451,0,0,11982,0
Point measurement,2,1451,0,0,11982,0
Point measurement,2,1451,0,0,11982,0
Point measurement,2,1451,0,0,11982,0
Point measurement,2,1451,0,0,11982,0
Point measurement,2,1451,0,0,11982,0
Point measurement,2,1451,0,0,11982,0
Point measurement,2,1451,0,0,11982,0
Point measurement,2,1451,0,0,11982,0
Point measurement,2,1451,0,0,11982,0
Point measurement,2,1451,0,0,11982,0
Point measurement,3,1451,0,0,11982,0
Point measurement,3,1451,0,0,11982,0
Point measurement,3,1451,0,0,11982,0
Point measurement,3,1451,0,0,11982,0
Point measurement,3,1451,0,0,11982,0
Point measurement,3,1451,0,0,11982,0
Point measurement,3,1451,0,0,11982,0
Point measurement,3,1451,0,0,11982,0
Point measurement,3,1451,0,0,11982,0
Point measurement,3,1451,0,0,11982,0
Point measurement,3,1451,0,0,11982,0
Point measurement,3,1451,0,0,11982,0
Point measurement,3,1451,0,0,11982,0
Point measurement,3,1451,0,0,11982,0
Point measurement,3,1451,0,0,11982,0
Point measurement,3,1451,0,0,11982,0
Point measurement,3,1451,0,0,11982,0
Point measurement,3,1451,0,0,11982,0
Point measurement,3,1451,0,0,11982,0
Point measurement,3,1451,0,0,11982,0
Point measurement,4,1451,0,0,11982,0
Point measurement,4,1451,0,0,11982,0
Point measurement,4,1451,0,0,11982,0
Point measurement,4,1451,0,0,11982,0
