Name;Group1_slug_exp;
Description;;
Measure-Intervall;00:00:00.2000000;
;;

Time SN:46121 (S30X):P1;SN:46121 (S30X):P1 bar;Time SN:46121 (S30X):TOB1;SN:46121 (S30X):TOB1 °C;Time SN:46133 (S30X):P1;SN:46133 (S30X):P1 bar;Time SN:46133 (S30X):TOB1;SN:46133 (S30X):TOB1 °C;
0:00:00.834;0.0006965;0:00:00.848;11.2956543;0:00:00.864;9.44E-05;0:00:00.880;10.8870239;
0:00:01.031;0.0007065;0:00:01.056;11.2956543;0:00:01.072;9.41E-05;0:00:01.088;10.8870239;
0:00:01.231;0.0006996;0:00:01.259;11.2956543;0:00:01.280;9.64E-05;0:00:01.296;10.8870239;
0:00:01.431;0.0007149;0:00:01.456;11.2956543;0:00:01.472;9.68E-05;0:00:01.488;10.8765259;
0:00:01.631;0.0007189;0:00:01.648;11.2956543;0:00:01.664;9.72E-05;0:00:01.680;10.8765259;
0:00:01.831;0.0006987;0:00:01.856;11.2956543;0:00:01.872;9.72E-05;0:00:01.912;10.8765259;
0:00:02.031;0.0007218;0:00:02.048;11.2956543;0:00:02.064;9.78E-05;0:00:02.080;10.8765259;
0:00:02.231;0.0007082;0:00:02.256;11.2956543;0:00:02.272;0.0001021;0:00:02.288;10.8765259;
0:00:02.431;0.0007014;0:00:02.457;11.2956543;0:00:02.480;9.71E-05;0:00:02.496;10.8765259;
0:00:02.631;0.0006921;0:00:02.656;11.2956543;0:00:02.672;9.61E-05;0:00:02.688;10.8765259;
0:00:02.831;0.0006879;0:00:02.847;11.2956543;0:00:02.863;9.43E-05;0:00:02.879;10.8765259;
0:00:03.031;0.0006823;0:00:03.055;11.2956543;0:00:03.071;9.39E-05;0:00:03.087;10.8765259;
0:00:03.231;0.0006772;0:00:03.247;11.2956543;0:00:03.263;9.72E-05;0:00:03.279;10.8765259;
0:00:03.431;0.0006879;0:00:03.455;11.2852173;0:00:03.471;9.62E-05;0:00:03.487;10.8974609;
0:00:03.631;0.0006821;0:00:03.647;11.2852173;0:00:03.663;9.33E-05;0:00:03.679;10.8974609;
0:00:03.831;0.0006922;0:00:03.859;11.2852173;0:00:03.871;9.4E-05;0:00:03.887;10.8974609;
0:00:04.031;0.0006918;0:00:04.047;11.2852173;0:00:04.063;9.66E-05;0:00:04.079;10.8974609;
0:00:04.231;0.000696;0:00:04.255;11.2852173;0:00:04.271;9.24E-05;0:00:04.287;10.8974609;
0:00:04.431;0.000688;0:00:04.447;11.2852173;0:00:04.463;0.0001001;0:00:04.479;10.8974609;
0:00:04.631;0.000691;0:00:04.655;11.2852173;0:00:04.671;9.52E-05;0:00:04.687;10.8974609;
0:00:04.831;0.0006938;0:00:04.847;11.2852173;0:00:04.863;9.53E-05;0:00:04.879;10.8974609;
0:00:05.031;0.0007068;0:00:05.056;11.2852173;0:00:05.071;8.94E-05;0:00:05.087;10.8974609;
0:00:05.231;0.0007201;0:00:05.247;11.2852173;0:00:05.263;9.12E-05;0:00:05.279;10.8974609;
0:00:05.431;0.0007029;0:00:05.455;11.2852173;0:00:05.471;9.39E-05;0:00:05.487;10.8974609;
0:00:05.631;0.0006973;0:00:05.647;11.2852173;0:00:05.663;8.94E-05;0:00:05.679;10.8974609;
0:00:05.831;0.0006902;0:00:05.855;11.2852173;0:00:05.871;9.61E-05;0:00:05.887;10.8974609;
0:00:06.031;0.0006999;0:00:06.047;11.2852173;0:00:06.063;9.18E-05;0:00:06.079;10.8974609;
0:00:06.231;0.0007072;0:00:06.256;11.2852173;0:00:06.271;9.6E-05;0:00:06.287;10.8974609;
0:00:06.431;0.0007113;0:00:06.447;11.2852173;0:00:06.463;8.98E-05;0:00:06.474;10.8974609;
0:00:06.631;0.0007065;0:00:06.650;11.2852173;0:00:06.666;8.77E-05;0:00:06.682;10.8974609;
0:00:06.831;0.0007215;0:00:06.858;11.2852173;0:00:06.874;9.45E-05;0:00:06.890;10.8974609;
0:00:07.031;0.000724;0:00:07.050;11.2852173;0:00:07.066;8.93E-05;0:00:07.082;10.8974609;
0:00:07.231;0.0007134;0:00:07.258;11.2852173;0:00:07.274;8.65E-05;0:00:07.290;10.8974609;
0:00:07.431;0.0007084;0:00:07.456;11.2956543;0:00:07.466;9.05E-05;0:00:07.482;10.8974609;
0:00:07.631;0.0007199;0:00:07.658;11.2956543;0:00:07.674;8.97E-05;0:00:07.690;10.8974609;
0:00:07.831;0.0007329;0:00:07.850;11.2956543;0:00:07.866;8.93E-05;0:00:07.882;10.8974609;
0:00:08.031;0.0007169;0:00:08.058;11.2956543;0:00:08.074;8.74E-05;0:00:08.090;10.8974609;
0:00:08.231;0.0007023;0:00:08.260;11.2956543;0:00:08.276;8.9E-05;0:00:08.292;10.8974609;
0:00:08.431;0.0007215;0:00:08.451;11.2956543;0:00:08.467;9.39E-05;0:00:08.483;10.8974609;
0:00:08.631;0.0007247;0:00:08.659;11.2956543;0:00:08.675;9.09E-05;0:00:08.691;10.8974609;
0:00:08.831;0.000733;0:00:08.858;11.2956543;0:00:08.867;9.11E-05;0:00:08.883;10.8974609;
0:00:09.031;0.0007548;0:00:09.059;11.2956543;0:00:09.075;9.78E-05;0:00:09.091;10.8974609;
