Name;Slug-Tset-Group2;
Description;;
Measure-Intervall;00:00:00.2000000;
;;

Time SN:46133 (S30X):P1;SN:46133 (S30X):P1 bar;Time SN:46133 (S30X):TOB1;SN:46133 (S30X):TOB1 °C;Time SN:46121 (S30X):P1;SN:46121 (S30X):P1 bar;Time SN:46121 (S30X):TOB1;SN:46121 (S30X):TOB1 °C;
0:00:00.002;0.00023;0:00:00.018;11.081543;0:00:00.034;0.0004754;0:00:00.059;10.9923096;
0:00:00.200;0.0002281;0:00:00.225;11.081543;0:00:00.241;0.0004683;0:00:00.257;10.9923096;
0:00:00.400;0.0002215;0:00:00.418;11.081543;0:00:00.434;0.0004699;0:00:00.449;10.9923096;
0:00:00.600;0.0002219;0:00:00.625;11.081543;0:00:00.640;0.0004626;0:00:00.656;10.9923096;
0:00:00.800;0.0002244;0:00:00.817;11.081543;0:00:00.832;0.0004593;0:00:00.848;10.9923096;
0:00:01.000;0.0002277;0:00:01.030;11.081543;0:00:01.057;0.0004538;0:00:01.073;10.9923096;
0:00:01.200;0.000223;0:00:01.217;11.081543;0:00:01.232;0.0004509;0:00:01.248;10.9923096;
0:00:01.400;0.0002212;0:00:01.424;11.09198;0:00:01.440;0.0004561;0:00:01.456;10.9923096;
0:00:01.600;0.0002183;0:00:01.617;11.09198;0:00:01.632;0.0004563;0:00:01.649;10.9923096;
0:00:01.800;0.0002258;0:00:01.825;11.09198;0:00:01.841;0.0004509;0:00:01.857;10.9923096;
0:00:02.000;0.0002232;0:00:02.017;11.09198;0:00:02.033;0.0004553;0:00:02.049;10.9923096;
0:00:02.200;0.0002215;0:00:02.225;11.09198;0:00:02.241;0.0004566;0:00:02.257;10.9923096;
0:00:02.400;0.0002212;0:00:02.417;11.09198;0:00:02.432;0.0004515;0:00:02.448;10.9923096;
0:00:02.600;0.0002188;0:00:02.625;11.09198;0:00:02.640;0.0004544;0:00:02.656;10.9923096;
0:00:02.800;0.0002259;0:00:02.817;11.09198;0:00:02.832;0.0004567;0:00:02.848;10.9923096;
0:00:03.000;0.0002207;0:00:03.025;11.09198;0:00:03.040;0.0004563;0:00:03.057;10.9923096;
0:00:03.200;0.0002266;0:00:03.216;11.09198;0:00:03.232;0.0004596;0:00:03.248;10.9923096;
0:00:03.400;0.0002224;0:00:03.424;11.081543;0:00:03.440;0.0004613;0:00:03.456;10.9923096;
0:00:03.600;0.000219;0:00:03.616;11.081543;0:00:03.632;0.0004602;0:00:03.648;10.9923096;
0:00:03.800;0.0002253;0:00:03.825;11.081543;0:00:03.841;0.0004629;0:00:03.857;10.9923096;
0:00:04.000;0.0002245;0:00:04.017;11.081543;0:00:04.033;0.0004613;0:00:04.049;10.9923096;
0:00:04.200;0.0002235;0:00:04.226;11.081543;0:00:04.241;0.0004671;0:00:04.257;10.9923096;
0:00:04.400;0.0002217;0:00:04.416;11.081543;0:00:04.433;0.0004637;0:00:04.449;10.9923096;
0:00:04.600;0.0002158;0:00:04.624;11.081543;0:00:04.640;0.0004555;0:00:04.656;10.9923096;
0:00:04.800;0.0002187;0:00:04.816;11.081543;0:00:04.832;0.0004617;0:00:04.848;10.9923096;
0:00:05.000;0.0002176;0:00:05.024;11.081543;0:00:05.040;0.0004549;0:00:05.056;10.9923096;
0:00:05.200;0.0002178;0:00:05.216;11.081543;0:00:05.233;0.0004576;0:00:05.249;10.9923096;
0:00:05.400;0.0002217;0:00:05.431;11.081543;0:00:05.456;0.00046;0:00:05.472;10.9818726;
0:00:05.600;0.000223;0:00:05.617;11.081543;0:00:05.632;0.0004562;0:00:05.648;10.9818726;
0:00:05.800;0.0002219;0:00:05.825;11.081543;0:00:05.840;0.0004534;0:00:05.856;10.9818726;
0:00:06.000;0.0002186;0:00:06.015;11.081543;0:00:06.033;0.0004523;0:00:06.048;10.9818726;
0:00:06.200;0.0002218;0:00:06.224;11.081543;0:00:06.240;0.0004566;0:00:06.256;10.9818726;
0:00:06.400;0.0002277;0:00:06.415;11.081543;0:00:06.432;0.0004577;0:00:06.448;10.9818726;
0:00:06.600;0.000228;0:00:06.624;11.081543;0:00:06.639;0.00046;0:00:06.655;10.9818726;
0:00:06.800;0.0002219;0:00:06.815;11.081543;0:00:06.831;0.0004602;0:00:06.848;10.9818726;
0:00:07.000;0.00022;0:00:07.033;11.081543;0:00:07.055;0.0004619;0:00:07.071;10.9818726;
0:00:07.200;0.0002204;0:00:07.216;11.081543;0:00:07.231;0.0004544;0:00:07.248;10.9818726;
0:00:07.400;0.0002329;0:00:07.430;11.081543;0:00:07.439;0.0004552;0:00:07.455;10.9818726;
0:00:07.600;0.0002244;0:00:07.615;11.081543;0:00:07.631;0.0004569;0:00:07.647;10.9818726;
0:00:07.800;0.0002245;0:00:07.824;11.081543;0:00:07.839;0.0004639;0:00:07.855;10.9818726;
0:00:08.000;0.0002218;0:00:08.016;11.081543;0:00:08.032;0.0004575;0:00:08.048;10.9818726;
0:00:08.200;0.000223;0:00:08.224;11.081543;0:00:08.240;0.0004608;0:00:08.256;10.9818726;
0:00:08.400;0.0002168;0:00:08.416;11.081543;0:00:08.447;0.0004577;0:00:08.464;10.9818726;
0:00:08.590;0.000221;0:00:08.608;11.081543;0:00:08.624;0.0004566;0:00:08.639;10.9818726;
0:00:08.790;0.0002265;0:00:08.816;11.081543;0:00:08.831;0.0004544;0:00:08.847;10.9818726;
0:00:08.990;0.0002194;0:00:09.007;11.081543;0:00:09.032;0.0004474;0:00:09.055;10.9818726;
0:00:09.190;0.0002183;0:00:09.216;11.081543;0:00:09.232;0.0004574;0:00:09.247;10.9818726;
0:00:09.390;0.0002282;0:00:09.407;11.071106;0:00:09.430;0.000457;0:00:09.440;10.9818726;
0:00:09.590;0.0002304;0:00:09.616;11.071106;0:00:09.631;0.0004537;0:00:09.647;10.9818726;
0:00:09.790;0.0002245;0:00:09.807;11.071106;0:00:09.824;0.0004499;0:00:09.839;10.9818726;
0:00:09.990;0.0002199;0:00:10.038;11.071106;0:00:10.047;0.0004516;0:00:10.064;10.9818726;
0:00:10.180;0.0002276;0:00:10.207;11.071106;0:00:10.223;0.000461;0:00:10.240;10.9818726;
0:00:10.380;0.000228;0:00:10.400;11.071106;0:00:10.416;0.0004581;0:00:10.432;10.9818726;
0:00:10.580;0.0002215;0:00:10.607;11.071106;0:00:10.624;0.0004573;0:00:10.640;10.9818726;
0:00:10.780;0.0002229;0:00:10.799;11.071106;0:00:10.816;0.0004592;0:00:10.832;10.9818726;
0:00:10.980;0.0002202;0:00:11.007;11.071106;0:00:11.023;0.0004644;0:00:11.040;10.9818726;
0:00:11.180;0.0002177;0:00:11.199;11.071106;0:00:11.215;0.0004665;0:00:11.232;10.9818726;
0:00:11.380;0.000222;0:00:11.407;11.09198;0:00:11.423;0.0004625;0:00:11.440;10.9923096;
0:00:11.580;0.0002146;0:00:11.599;11.09198;0:00:11.614;0.0004716;0:00:11.630;10.9923096;
0:00:11.780;0.0002177;0:00:11.806;11.09198;0:00:11.822;0.0004772;0:00:11.839;10.9923096;
0:00:11.980;0.0002216;0:00:11.999;11.09198;0:00:12.015;0.0004685;0:00:12.030;10.9923096;
0:00:12.180;0.0002237;0:00:12.207;11.09198;0:00:12.223;0.0004641;0:00:12.238;10.9923096;
0:00:12.380;0.0002306;0:00:12.399;11.09198;0:00:12.415;0.0004645;0:00:12.430;10.9923096;
0:00:12.580;0.0002234;0:00:12.607;11.09198;0:00:12.623;0.0004686;0:00:12.639;10.9923096;
0:00:12.780;0.0002215;0:00:12.799;11.09198;0:00:12.815;0.0004673;0:00:12.830;10.9923096;
0:00:12.980;0.0002263;0:00:13.007;11.09198;0:00:13.023;0.0004692;0:00:13.039;10.9923096;
0:00:13.180;0.0002336;0:00:13.199;11.09198;0:00:13.215;0.0004578;0:00:13.230;10.9923096;
0:00:13.380;0.000225;0:00:13.407;11.081543;0:00:13.423;0.0004553;0:00:13.438;10.9818726;
0:00:13.580;0.0002321;0:00:13.599;11.081543;0:00:13.615;0.0004606;0:00:13.630;10.9818726;
0:00:13.780;0.0002236;0:00:13.807;11.081543;0:00:13.823;0.0004554;0:00:13.839;10.9818726;
0:00:13.980;0.0002261;0:00:13.999;11.081543;0:00:14.015;0.0004498;0:00:14.030;10.9818726;
0:00:14.180;0.0002246;0:00:14.207;11.081543;0:00:14.223;0.000447;0:00:14.239;10.9818726;
0:00:14.380;0.0002173;0:00:14.399;11.081543;0:00:14.415;0.0004416;0:00:14.430;10.9818726;
0:00:14.580;0.0002131;0:00:14.607;11.081543;0:00:14.623;0.0004522;0:00:14.639;10.9818726;
0:00:14.780;0.0002103;0:00:14.798;11.081543;0:00:14.815;0.0004463;0:00:14.830;10.9818726;
0:00:14.980;0.0002135;0:00:15.006;11.081543;0:00:15.022;0.000446;0:00:15.039;10.9818726;
0:00:15.180;0.0002258;0:00:15.198;11.081543;0:00:15.214;0.0004473;0:00:15.231;10.9818726;
0:00:15.380;0.0002309;0:00:15.406;11.081543;0:00:15.422;0.0004552;0:00:15.439;10.9923096;
0:00:15.580;0.0002231;0:00:15.598;11.081543;0:00:15.614;0.000456;0:00:15.631;10.9923096;
0:00:15.780;0.0002185;0:00:15.806;11.081543;0:00:15.822;0.0004605;0:00:15.839;10.9923096;
0:00:15.980;0.0002167;0:00:15.998;11.081543;0:00:16.014;0.0004637;0:00:16.031;10.9923096;
0:00:16.180;0.0002174;0:00:16.206;11.081543;0:00:16.222;0.0004639;0:00:16.239;10.9923096;
0:00:16.380;0.0002267;0:00:16.399;11.081543;0:00:16.415;0.0004674;0:00:16.431;10.9923096;
