Name;Group3_slug_test;
Description;;
Measure-Intervall;00:00:00.2000000;
;;

Time SN:46133 (S30X):P1;SN:46133 (S30X):P1 bar;Time SN:46133 (S30X):TOB1;SN:46133 (S30X):TOB1 °C;Time SN:46121 (S30X):P1;SN:46121 (S30X):P1 bar;Time SN:46121 (S30X):TOB1;SN:46121 (S30X):TOB1 °C;
0:00:00.841;0.0002005;0:00:00.861;10.9404907;0:00:00.870;0.0001314;0:00:00.886;12.0213013;
0:00:01.042;0.0002046;0:00:01.062;10.9404907;0:00:01.078;0.0001312;0:00:01.094;12.0213013;
0:00:01.242;0.0001998;0:00:01.270;10.9404907;0:00:01.286;0.0001249;0:00:01.302;12.0213013;
0:00:01.442;0.0001992;0:00:01.463;10.9404907;0:00:01.478;0.0001296;0:00:01.494;12.0213013;
0:00:01.642;0.0002025;0:00:01.670;10.9404907;0:00:01.686;0.0001328;0:00:01.702;12.0213013;
0:00:01.842;0.0002005;0:00:01.864;10.9404907;0:00:01.929;0.0001289;0:00:01.942;12.0213013;
0:00:02.042;0.000205;0:00:02.073;10.9404907;0:00:02.086;0.0001313;0:00:02.102;12.0213013;
0:00:02.242;0.0002011;0:00:02.263;10.9404907;0:00:02.279;0.0001356;0:00:02.294;12.0213013;
0:00:02.442;0.0001956;0:00:02.471;10.9404907;0:00:02.486;0.0001351;0:00:02.502;12.0213013;
0:00:02.642;0.0001979;0:00:02.663;10.9404907;0:00:02.678;0.0001325;0:00:02.694;12.0110474;
0:00:02.842;0.0001994;0:00:02.873;10.9404907;0:00:02.887;0.0001367;0:00:02.903;12.0110474;
0:00:03.042;0.0002015;0:00:03.064;10.9404907;0:00:03.079;0.0001312;0:00:03.095;12.0110474;
0:00:03.232;0.0001986;0:00:03.256;10.9404907;0:00:03.272;0.0001269;0:00:03.287;12.0110474;
0:00:03.432;0.0001998;0:00:03.448;10.9404907;0:00:03.464;0.0001244;0:00:03.480;12.0110474;
0:00:03.632;0.0002025;0:00:03.656;10.9404907;0:00:03.672;0.0001293;0:00:03.687;12.0110474;
0:00:03.832;0.0002056;0:00:03.848;10.9404907;0:00:03.864;0.0001293;0:00:03.879;12.0110474;
0:00:04.032;0.0002008;0:00:04.056;10.9404907;0:00:04.072;0.0001336;0:00:04.087;12.0110474;
0:00:04.232;0.0002028;0:00:04.248;10.9404907;0:00:04.264;0.0001263;0:00:04.279;12.0110474;
0:00:04.432;0.0002069;0:00:04.456;10.9404907;0:00:04.472;0.0001271;0:00:04.487;12.0110474;
0:00:04.632;0.0002011;0:00:04.648;10.9404907;0:00:04.664;0.0001251;0:00:04.688;12.0213013;
0:00:04.822;0.0001953;0:00:04.840;10.9404907;0:00:04.856;0.0001239;0:00:04.872;12.0213013;
0:00:05.022;0.0002026;0:00:05.048;10.9404907;0:00:05.064;0.0001217;0:00:05.079;12.0213013;
0:00:05.222;0.0002054;0:00:05.240;10.9404907;0:00:05.256;0.0001308;0:00:05.272;12.0213013;
0:00:05.422;0.0002021;0:00:05.447;10.9404907;0:00:05.472;0.0001331;0:00:05.494;12.0213013;
0:00:05.622;0.0002041;0:00:05.639;10.9404907;0:00:05.655;0.0001318;0:00:05.671;12.0213013;
0:00:05.822;0.000202;0:00:05.847;10.9404907;0:00:05.863;0.0001319;0:00:05.879;12.0213013;
0:00:06.022;0.000202;0:00:06.039;10.9404907;0:00:06.055;0.0001296;0:00:06.071;12.0213013;
0:00:06.222;0.0002067;0:00:06.247;10.9404907;0:00:06.263;0.0001338;0:00:06.278;12.0213013;
0:00:06.422;0.0002001;0:00:06.439;10.9404907;0:00:06.455;0.0001366;0:00:06.471;12.0213013;
0:00:06.622;0.000211;0:00:06.647;10.9404907;0:00:06.663;0.0001443;0:00:06.678;12.0213013;
0:00:06.822;0.0002073;0:00:06.839;10.9404907;0:00:06.855;0.0001391;0:00:06.871;12.0213013;
0:00:07.022;0.000205;0:00:07.046;10.9404907;0:00:07.062;0.0001326;0:00:07.078;12.0213013;
0:00:07.222;0.0002076;0:00:07.239;10.9404907;0:00:07.255;0.0001357;0:00:07.271;12.0213013;
0:00:07.422;0.0002061;0:00:07.447;10.9404907;0:00:07.463;0.0001347;0:00:07.478;12.0213013;
0:00:07.622;0.0002087;0:00:07.639;10.9404907;0:00:07.655;0.0001338;0:00:07.671;12.0213013;
0:00:07.822;0.000203;0:00:07.846;10.9404907;0:00:07.863;0.0001397;0:00:07.878;12.0213013;
0:00:08.022;0.0002127;0:00:08.039;10.9404907;0:00:08.055;0.0001441;0:00:08.071;12.0213013;
0:00:08.222;0.0002025;0:00:08.247;10.9404907;0:00:08.263;0.0001377;0:00:08.279;12.0213013;
0:00:08.422;0.0002028;0:00:08.439;10.9404907;0:00:08.455;0.0001386;0:00:08.471;12.0213013;
0:00:08.622;0.0001972;0:00:08.647;10.9509277;0:00:08.663;0.0001378;0:00:08.678;12.0213013;
0:00:08.822;0.0002035;0:00:08.839;10.9509277;0:00:08.855;0.0001406;0:00:08.871;12.0213013;
0:00:09.022;0.0002063;0:00:09.047;10.9509277;0:00:09.063;0.0001426;0:00:09.080;12.0213013;
0:00:09.222;0.0002063;0:00:09.239;10.9509277;0:00:09.255;0.0001372;0:00:09.271;12.0213013;
0:00:09.422;0.0002036;0:00:09.447;10.9509277;0:00:09.463;0.0001449;0:00:09.480;12.0213013;
0:00:09.622;0.0002033;0:00:09.639;10.9509277;0:00:09.655;0.0001481;0:00:09.671;12.0213013;
0:00:09.822;0.0002023;0:00:09.846;10.9509277;0:00:09.862;0.0001452;0:00:09.878;12.0213013;
0:00:10.022;0.0002073;0:00:10.038;10.9509277;0:00:10.054;0.0001388;0:00:10.070;12.0213013;
0:00:10.222;0.0002064;0:00:10.247;10.9509277;0:00:10.263;0.0001337;0:00:10.278;12.0213013;
0:00:10.422;0.0002031;0:00:10.439;10.9509277;0:00:10.455;0.0001242;0:00:10.471;12.0213013;
0:00:10.622;0.0002042;0:00:10.647;10.9404907;0:00:10.663;0.0001279;0:00:10.679;12.0110474;
0:00:10.822;0.0002077;0:00:10.839;10.9404907;0:00:10.855;0.0001284;0:00:10.871;12.0110474;
0:00:11.022;0.0002068;0:00:11.046;10.9404907;0:00:11.062;0.0001273;0:00:11.077;12.0110474;
0:00:11.222;0.0002105;0:00:11.238;10.9404907;0:00:11.254;0.0001332;0:00:11.270;12.0110474;
0:00:11.422;0.0002183;0:00:11.446;10.9404907;0:00:11.462;0.0001384;0:00:11.477;12.0110474;
0:00:11.622;0.0002158;0:00:11.638;10.9404907;0:00:11.654;0.0001319;0:00:11.670;12.0110474;
0:00:11.822;0.0002116;0:00:11.846;10.9404907;0:00:11.862;0.0001429;0:00:11.878;12.0110474;
0:00:12.022;0.0002076;0:00:12.038;10.9404907;0:00:12.054;0.00015;0:00:12.070;12.0110474;
0:00:12.222;0.000206;0:00:12.246;10.9404907;0:00:12.262;0.0001524;0:00:12.277;12.0110474;
0:00:12.422;0.0002084;0:00:12.438;10.9404907;0:00:12.454;0.0001555;0:00:12.470;12.0110474;
0:00:12.622;0.0002119;0:00:12.646;10.9404907;0:00:12.662;0.0001506;0:00:12.677;12.0110474;
0:00:12.822;0.0002126;0:00:12.838;10.9404907;0:00:12.854;0.0001431;0:00:12.870;12.0110474;
0:00:13.022;0.0002084;0:00:13.046;10.9404907;0:00:13.062;0.0001402;0:00:13.077;12.0110474;
0:00:13.222;0.0002008;0:00:13.238;10.9404907;0:00:13.254;0.0001405;0:00:13.270;12.0110474;
0:00:13.422;0.0002032;0:00:13.446;10.9404907;0:00:13.462;0.0001397;0:00:13.481;12.0110474;
0:00:13.622;0.0002078;0:00:13.638;10.9404907;0:00:13.654;0.0001385;0:00:13.670;12.0110474;
0:00:13.822;0.0002072;0:00:13.846;10.9404907;0:00:13.862;0.0001381;0:00:13.877;12.0110474;
0:00:14.022;0.0002104;0:00:14.038;10.9404907;0:00:14.054;0.0001369;0:00:14.070;12.0110474;
0:00:14.222;0.0002033;0:00:14.246;10.9404907;0:00:14.262;0.0001396;0:00:14.278;12.0110474;
0:00:14.422;0.0002074;0:00:14.438;10.9404907;0:00:14.454;0.0001462;0:00:14.470;12.0110474;
0:00:14.622;0.0002045;0:00:14.646;10.9404907;0:00:14.662;0.0001433;0:00:14.677;12.0110474;
