Name;Group1_Infiltration_Forest;
Description;;
Measure-Intervall;00:00:00.0500000;
;;

Time SN:46140 (S30X):P1;SN:46140 (S30X):P1 bar;Time SN:46140 (S30X):TOB1;SN:46140 (S30X):TOB1 °C;Time SN:46123 (S30X):P1;SN:46123 (S30X):P1 bar;Time SN:46123 (S30X):TOB1;SN:46123 (S30X):TOB1 °C;
05.06.2019 10:33:41.584;0.0734939;05.06.2019 10:33:41.610;15.4232178;05.06.2019 10:33:41.626;0.0069922;05.06.2019 10:33:41.642;14.352417;
05.06.2019 10:33:41.658;0.0734945;05.06.2019 10:33:41.674;15.4232178;05.06.2019 10:33:41.690;0.0069922;05.06.2019 10:33:41.706;14.352417;
05.06.2019 10:33:41.722;0.0734947;05.06.2019 10:33:41.738;15.4232178;05.06.2019 10:33:41.754;0.0069921;05.06.2019 10:33:41.770;14.352417;
05.06.2019 10:33:41.786;0.0734945;05.06.2019 10:33:41.802;15.4232178;05.06.2019 10:33:41.818;0.0069921;05.06.2019 10:33:41.834;14.352417;
05.06.2019 10:33:41.850;0.0734951;05.06.2019 10:33:41.866;15.4232178;05.06.2019 10:33:41.882;0.0069921;05.06.2019 10:33:41.898;14.352417;
05.06.2019 10:33:41.914;0.073495;05.06.2019 10:33:41.930;15.4232178;05.06.2019 10:33:41.946;0.006992;05.06.2019 10:33:41.963;14.352417;
05.06.2019 10:33:41.978;0.0734948;05.06.2019 10:33:41.994;15.4232178;05.06.2019 10:33:42.010;0.006992;05.06.2019 10:33:42.026;14.352417;
05.06.2019 10:33:42.042;0.0734957;05.06.2019 10:33:42.058;15.4232178;05.06.2019 10:33:42.074;0.0069919;05.06.2019 10:33:42.090;14.352417;
05.06.2019 10:33:42.106;0.0734972;05.06.2019 10:33:42.122;15.4232178;05.06.2019 10:33:42.139;0.0069919;05.06.2019 10:33:42.154;14.352417;
05.06.2019 10:33:42.170;0.0734969;05.06.2019 10:33:42.186;15.4232178;05.06.2019 10:33:42.202;0.0069918;05.06.2019 10:33:42.218;14.352417;
05.06.2019 10:33:42.234;0.0734972;05.06.2019 10:33:42.250;15.4232178;05.06.2019 10:33:42.267;0.0069918;05.06.2019 10:33:42.283;14.352417;
05.06.2019 10:33:42.299;0.0734966;05.06.2019 10:33:42.315;15.4232178;05.06.2019 10:33:42.331;0.0069918;05.06.2019 10:33:42.347;14.352417;
05.06.2019 10:33:42.363;0.0734967;05.06.2019 10:33:42.378;15.4232178;05.06.2019 10:33:42.394;0.0069918;05.06.2019 10:33:42.410;14.352417;
05.06.2019 10:33:42.426;0.073496;05.06.2019 10:33:42.442;15.4232178;05.06.2019 10:33:42.458;0.0069916;05.06.2019 10:33:42.474;14.352417;
05.06.2019 10:33:42.490;0.0734963;05.06.2019 10:33:42.506;15.4232178;05.06.2019 10:33:42.522;0.0069915;05.06.2019 10:33:42.538;14.352417;
05.06.2019 10:33:42.554;0.073496;05.06.2019 10:33:42.570;15.4232178;05.06.2019 10:33:42.587;0.0069914;05.06.2019 10:33:42.620;14.352417;
05.06.2019 10:33:42.634;0.0734959;05.06.2019 10:33:42.650;15.4232178;05.06.2019 10:33:42.666;0.0069913;05.06.2019 10:33:42.682;14.352417;
05.06.2019 10:33:42.698;0.0734955;05.06.2019 10:33:42.714;15.4232178;05.06.2019 10:33:42.730;0.0069913;05.06.2019 10:33:42.746;14.352417;
05.06.2019 10:33:42.762;0.0734957;05.06.2019 10:33:42.778;15.4232178;05.06.2019 10:33:42.794;0.0069912;05.06.2019 10:33:42.810;14.352417;
