Name;Group3_Infilration_Forest;
Description;;
Measure-Intervall;00:00:00.0500000;
;;

Time SN:46140 (S30X):P1;SN:46140 (S30X):P1 bar;Time SN:46140 (S30X):TOB1;SN:46140 (S30X):TOB1 °C;Time SN:46123 (S30X):P1;SN:46123 (S30X):P1 bar;Time SN:46123 (S30X):TOB1;SN:46123 (S30X):TOB1 °C;
05.06.2019 15:37:27.392;0.0642751;05.06.2019 15:37:27.420;21.8140869;05.06.2019 15:37:27.436;-0.0031532;05.06.2019 15:37:27.452;25.7481689;
05.06.2019 15:37:27.468;0.0642749;05.06.2019 15:37:27.484;21.8140869;05.06.2019 15:37:27.500;-0.0031532;05.06.2019 15:37:27.516;25.7481689;
05.06.2019 15:37:27.532;0.0642744;05.06.2019 15:37:27.548;21.8140869;05.06.2019 15:37:27.564;-0.0031534;05.06.2019 15:37:27.580;25.7481689;
05.06.2019 15:37:27.596;0.0642739;05.06.2019 15:37:27.612;21.8140869;05.06.2019 15:37:27.627;-0.0031535;05.06.2019 15:37:27.644;25.7481689;
05.06.2019 15:37:27.660;0.0642742;05.06.2019 15:37:27.676;21.8140869;05.06.2019 15:37:27.692;-0.0031536;05.06.2019 15:37:27.708;25.7481689;
05.06.2019 15:37:27.724;0.0642735;05.06.2019 15:37:27.740;21.8140869;05.06.2019 15:37:27.756;-0.0031536;05.06.2019 15:37:27.780;25.7481689;
05.06.2019 15:37:27.797;0.0642738;05.06.2019 15:37:27.813;21.8140869;05.06.2019 15:37:27.829;-0.0031538;05.06.2019 15:37:27.845;25.7481689;
05.06.2019 15:37:27.861;0.0642735;05.06.2019 15:37:27.877;21.8140869;05.06.2019 15:37:27.893;-0.0031539;05.06.2019 15:37:27.909;25.7481689;
05.06.2019 15:37:27.925;0.0642733;05.06.2019 15:37:27.941;21.8140869;05.06.2019 15:37:27.957;-0.003154;05.06.2019 15:37:27.973;25.7481689;
05.06.2019 15:37:27.989;0.0642742;05.06.2019 15:37:28.005;21.8140869;05.06.2019 15:37:28.021;-0.0031541;05.06.2019 15:37:28.037;25.7481689;
05.06.2019 15:37:28.053;0.064274;05.06.2019 15:37:28.069;21.8140869;05.06.2019 15:37:28.085;-0.0031542;05.06.2019 15:37:28.101;25.7481689;
05.06.2019 15:37:28.117;0.0642752;05.06.2019 15:37:28.133;21.8140869;05.06.2019 15:37:28.149;-0.0031543;05.06.2019 15:37:28.165;25.7481689;
05.06.2019 15:37:28.181;0.0642756;05.06.2019 15:37:28.197;21.8140869;05.06.2019 15:37:28.213;-0.0031543;05.06.2019 15:37:28.229;25.7481689;
05.06.2019 15:37:28.245;0.064276;05.06.2019 15:37:28.261;21.8140869;05.06.2019 15:37:28.277;-0.0031544;05.06.2019 15:37:28.293;25.7481689;
05.06.2019 15:37:28.309;0.0642768;05.06.2019 15:37:28.325;21.8140869;05.06.2019 15:37:28.341;-0.0031545;05.06.2019 15:37:28.357;25.7481689;
05.06.2019 15:37:28.373;0.0642757;05.06.2019 15:37:28.389;21.8140869;05.06.2019 15:37:28.404;-0.0031546;05.06.2019 15:37:28.421;25.7481689;
05.06.2019 15:37:28.437;0.0642757;05.06.2019 15:37:28.453;21.8140869;05.06.2019 15:37:28.469;-0.0031547;05.06.2019 15:37:28.485;25.7481689;
05.06.2019 15:37:28.501;0.0642766;05.06.2019 15:37:28.517;21.8140869;05.06.2019 15:37:28.533;-0.0031548;05.06.2019 15:37:28.549;25.7481689;
05.06.2019 15:37:28.565;0.0642766;05.06.2019 15:37:28.581;21.8140869;05.06.2019 15:37:28.596;-0.0031549;05.06.2019 15:37:28.612;25.7481689;
05.06.2019 15:37:28.629;0.0642778;05.06.2019 15:37:28.645;21.8140869;05.06.2019 15:37:28.661;-0.0031549;05.06.2019 15:37:28.677;25.7481689;
05.06.2019 15:37:28.693;0.0642773;05.06.2019 15:37:28.709;21.8140869;05.06.2019 15:37:28.725;-0.003155;05.06.2019 15:37:28.741;25.7481689;
05.06.2019 15:37:28.757;0.0642769;05.06.2019 15:37:28.773;21.8140869;05.06.2019 15:37:28.789;-0.003155;05.06.2019 15:37:28.804;25.7481689;
05.06.2019 15:37:28.821;0.0642765;05.06.2019 15:37:28.837;21.8140869;05.06.2019 15:37:28.853;-0.0031551;05.06.2019 15:37:28.869;25.7481689;
05.06.2019 15:37:28.885;0.0642756;05.06.2019 15:37:28.901;21.8140869;05.06.2019 15:37:28.917;-0.0031551;05.06.2019 15:37:28.933;25.7481689;
