Name;Group4_infiltration_forest;
Description;;
Measure-Intervall;00:00:00.0500000;
;;

Time SN:46123 (S30X):P1;SN:46123 (S30X):P1 bar;Time SN:46123 (S30X):TOB1;SN:46123 (S30X):TOB1 °C;Time SN:46140 (S30X):P1;SN:46140 (S30X):P1 bar;Time SN:46140 (S30X):TOB1;SN:46140 (S30X):TOB1 °C;
05.06.2019 17:19:20.491;0.0010423;05.06.2019 17:19:20.514;15.6834717;05.06.2019 17:19:20.530;0.0671154;05.06.2019 17:19:20.546;15.8656006;
05.06.2019 17:19:20.562;0.0010439;05.06.2019 17:19:20.578;15.6834717;05.06.2019 17:19:20.594;0.0671117;05.06.2019 17:19:20.610;15.8656006;
05.06.2019 17:19:20.626;0.0010451;05.06.2019 17:19:20.642;15.6834717;05.06.2019 17:19:20.658;0.0671086;05.06.2019 17:19:20.674;15.8656006;
05.06.2019 17:19:20.690;0.0010463;05.06.2019 17:19:20.706;15.6834717;05.06.2019 17:19:20.722;0.0671054;05.06.2019 17:19:20.738;15.8656006;
05.06.2019 17:19:20.754;0.0010478;05.06.2019 17:19:20.770;15.6834717;05.06.2019 17:19:20.786;0.0671029;05.06.2019 17:19:20.802;15.8656006;
05.06.2019 17:19:20.818;0.0010489;05.06.2019 17:19:20.834;15.6834717;05.06.2019 17:19:20.850;0.0671005;05.06.2019 17:19:20.866;15.8656006;
05.06.2019 17:19:20.882;0.0010504;05.06.2019 17:19:20.898;15.6834717;05.06.2019 17:19:20.914;0.0670974;05.06.2019 17:19:20.930;15.8656006;
05.06.2019 17:19:20.946;0.0010516;05.06.2019 17:19:20.962;15.6834717;05.06.2019 17:19:20.978;0.067094;05.06.2019 17:19:20.994;15.8656006;
05.06.2019 17:19:21.010;0.0010529;05.06.2019 17:19:21.026;15.6834717;05.06.2019 17:19:21.042;0.0670911;05.06.2019 17:19:21.058;15.8656006;
05.06.2019 17:19:21.074;0.0010543;05.06.2019 17:19:21.090;15.6834717;05.06.2019 17:19:21.106;0.0670877;05.06.2019 17:19:21.122;15.8656006;
05.06.2019 17:19:21.138;0.0010555;05.06.2019 17:19:21.154;15.6834717;05.06.2019 17:19:21.170;0.0670852;05.06.2019 17:19:21.186;15.8656006;
05.06.2019 17:19:21.202;0.0010569;05.06.2019 17:19:21.218;15.6834717;05.06.2019 17:19:21.234;0.0670829;05.06.2019 17:19:21.250;15.8656006;
05.06.2019 17:19:21.266;0.0010582;05.06.2019 17:19:21.282;15.6834717;05.06.2019 17:19:21.298;0.0670803;05.06.2019 17:19:21.314;15.8656006;
05.06.2019 17:19:21.330;0.0010594;05.06.2019 17:19:21.346;15.6834717;05.06.2019 17:19:21.362;0.0670769;05.06.2019 17:19:21.378;15.8656006;
05.06.2019 17:19:21.394;0.0010608;05.06.2019 17:19:21.410;15.6834717;05.06.2019 17:19:21.426;0.0670749;05.06.2019 17:19:21.442;15.8656006;
05.06.2019 17:19:21.458;0.0010621;05.06.2019 17:19:21.474;15.6834717;05.06.2019 17:19:21.490;0.0670721;05.06.2019 17:19:21.505;15.8656006;
05.06.2019 17:19:21.522;0.0010634;05.06.2019 17:19:21.538;15.6834717;05.06.2019 17:19:21.554;0.0670682;05.06.2019 17:19:21.570;15.8656006;
