Name;Group1_Infiltration_Grass;
Description;;
Measure-Intervall;00:00:01;
;;

Time SN:46133 (S30X):P1;SN:46133 (S30X):P1 bar;Time SN:46133 (S30X):TOB1;SN:46133 (S30X):TOB1 °C;Time SN:46121 (S30X):P1;SN:46121 (S30X):P1 bar;Time SN:46121 (S30X):TOB1;SN:46121 (S30X):TOB1 °C;
05.06.2019 09:33:25.732;-0.2468702;05.06.2019 09:33:25.748;15.7477417;05.06.2019 09:33:25.764;1.0134047;05.06.2019 09:33:25.779;24.0705566;
05.06.2019 09:33:26.731;-0.246882;05.06.2019 09:33:26.755;15.7477417;05.06.2019 09:33:26.771;1.0134045;05.06.2019 09:33:26.787;24.0897827;
05.06.2019 09:33:27.731;-0.2468926;05.06.2019 09:33:27.747;15.7477417;05.06.2019 09:33:27.763;1.0129484;05.06.2019 09:33:27.779;24.0897827;
05.06.2019 09:33:28.731;-0.2468922;05.06.2019 09:33:28.754;15.7578735;05.06.2019 09:33:28.773;1.0130225;05.06.2019 09:33:28.786;24.1090088;
05.06.2019 09:33:29.731;-0.2469011;05.06.2019 09:33:29.746;15.7578735;05.06.2019 09:33:29.762;1.0134169;05.06.2019 09:33:29.778;24.1090088;
05.06.2019 09:33:30.731;-0.2468961;05.06.2019 09:33:30.753;15.7477417;05.06.2019 09:33:30.769;1.0123456;05.06.2019 09:33:30.785;24.1377563;
05.06.2019 09:33:31.731;-0.2469121;05.06.2019 09:33:31.754;15.7477417;05.06.2019 09:33:31.770;1.0126996;05.06.2019 09:33:31.786;24.1377563;
05.06.2019 09:33:32.731;-0.2469152;05.06.2019 09:33:32.754;15.7477417;05.06.2019 09:33:32.770;1.0132114;05.06.2019 09:33:32.785;24.1665649;
05.06.2019 09:33:33.731;-0.2469306;05.06.2019 09:33:33.748;15.7477417;05.06.2019 09:33:33.761;1.0133077;05.06.2019 09:33:33.777;24.1665649;
05.06.2019 09:33:34.731;-0.2469123;05.06.2019 09:33:34.752;15.7578735;05.06.2019 09:33:34.768;1.0133353;05.06.2019 09:33:34.784;24.1761475;
05.06.2019 09:33:35.721;-0.246932;05.06.2019 09:33:35.745;15.7578735;05.06.2019 09:33:35.760;1.0115988;05.06.2019 09:33:35.776;24.1761475;
05.06.2019 09:33:36.721;-0.2469351;05.06.2019 09:33:36.735;15.7477417;05.06.2019 09:33:36.752;1.0117646;05.06.2019 09:33:36.767;24.204895;
05.06.2019 09:33:37.721;-0.2469244;05.06.2019 09:33:37.743;15.7477417;05.06.2019 09:33:37.759;1.0216008;05.06.2019 09:33:37.775;24.204895;
05.06.2019 09:33:38.711;-0.2469376;05.06.2019 09:33:38.735;15.7578735;05.06.2019 09:33:38.750;1.0247407;05.06.2019 09:33:38.766;24.2341309;
05.06.2019 09:33:39.711;-0.2469453;05.06.2019 09:33:39.726;15.7578735;05.06.2019 09:33:39.742;1.0255703;05.06.2019 09:33:39.758;24.2341309;
05.06.2019 09:33:40.711;-0.2469542;05.06.2019 09:33:40.735;15.7477417;05.06.2019 09:33:40.749;1.0256853;05.06.2019 09:33:40.765;24.2149658;
05.06.2019 09:33:41.711;-0.2469493;05.06.2019 09:33:41.725;15.7477417;05.06.2019 09:33:41.741;1.0256426;05.06.2019 09:33:41.757;24.2149658;
05.06.2019 09:33:42.711;-0.2469491;05.06.2019 09:33:42.733;15.7578735;05.06.2019 09:33:42.748;1.0255655;05.06.2019 09:33:42.765;24.0518799;
05.06.2019 09:33:43.701;-0.2469752;05.06.2019 09:33:43.724;15.7578735;05.06.2019 09:33:43.740;1.0254834;05.06.2019 09:33:43.756;24.0518799;
05.06.2019 09:33:44.701;-0.2469703;05.06.2019 09:33:44.716;15.7477417;05.06.2019 09:33:44.732;1.0253177;05.06.2019 09:33:44.748;23.7250977;
05.06.2019 09:33:45.701;-0.2469688;05.06.2019 09:33:45.723;15.7477417;05.06.2019 09:33:45.739;1.0252471;05.06.2019 09:33:45.755;23.7250977;
05.06.2019 09:33:46.701;-0.2469779;05.06.2019 09:33:46.730;15.7578735;05.06.2019 09:33:46.747;1.0252848;05.06.2019 09:33:46.763;23.2914429;
05.06.2019 09:33:47.701;-0.2469941;05.06.2019 09:33:47.722;15.7578735;05.06.2019 09:33:47.738;1.0253639;05.06.2019 09:33:47.754;23.2914429;
05.06.2019 09:33:48.701;-0.2469794;05.06.2019 09:33:48.729;15.7578735;05.06.2019 09:33:48.746;1.0255436;05.06.2019 09:33:48.762;22.8273926;
05.06.2019 09:33:49.701;-0.2469952;05.06.2019 09:33:49.721;15.7578735;05.06.2019 09:33:49.737;1.0257406;05.06.2019 09:33:49.753;22.8273926;
05.06.2019 09:33:50.701;-0.2470103;05.06.2019 09:33:50.728;15.7578735;05.06.2019 09:33:50.745;1.025956;05.06.2019 09:33:50.785;22.4007568;
05.06.2019 09:33:51.701;-0.2470032;05.06.2019 09:33:51.720;15.7578735;05.06.2019 09:33:51.737;1.0260671;05.06.2019 09:33:51.752;22.4007568;
05.06.2019 09:33:52.701;-0.2470103;05.06.2019 09:33:52.728;15.7680664;05.06.2019 09:33:52.744;1.0261176;05.06.2019 09:33:52.760;21.9825439;
05.06.2019 09:33:53.701;-0.247019;05.06.2019 09:33:53.720;15.7680664;05.06.2019 09:33:53.735;1.0261137;05.06.2019 09:33:53.753;21.9825439;
05.06.2019 09:33:54.701;-0.2470196;05.06.2019 09:33:54.727;15.7578735;05.06.2019 09:33:54.743;1.0260965;05.06.2019 09:33:54.759;21.6217651;
05.06.2019 09:33:55.701;-0.247026;05.06.2019 09:33:55.718;15.7578735;05.06.2019 09:33:55.734;1.0261056;05.06.2019 09:33:55.750;21.6217651;
05.06.2019 09:33:56.701;-0.2470289;05.06.2019 09:33:56.726;15.7680664;05.06.2019 09:33:56.742;1.0262505;05.06.2019 09:33:56.758;21.2797241;
05.06.2019 09:33:57.701;-0.2470339;05.06.2019 09:33:57.717;15.7680664;05.06.2019 09:33:57.733;1.026314;05.06.2019 09:33:57.750;21.2797241;
05.06.2019 09:33:58.701;-0.2470378;05.06.2019 09:33:58.725;15.7578735;05.06.2019 09:33:58.741;1.0263331;05.06.2019 09:33:58.757;20.9858398;
05.06.2019 09:33:59.701;-0.2470418;05.06.2019 09:33:59.716;15.7578735;05.06.2019 09:33:59.735;1.0264053;05.06.2019 09:33:59.748;20.9858398;
05.06.2019 09:34:00.701;-0.2470399;05.06.2019 09:34:00.724;15.7578735;05.06.2019 09:34:00.740;1.0264052;05.06.2019 09:34:00.756;20.7110596;
05.06.2019 09:34:01.701;-0.2470603;05.06.2019 09:34:01.714;15.7578735;05.06.2019 09:34:01.730;1.0264367;05.06.2019 09:34:01.746;20.7110596;
05.06.2019 09:34:02.701;-0.2470589;05.06.2019 09:34:02.722;15.7680664;05.06.2019 09:34:02.738;1.0265132;05.06.2019 09:34:02.754;20.4750977;
05.06.2019 09:34:03.691;-0.2470648;05.06.2019 09:34:03.714;15.7680664;05.06.2019 09:34:03.730;1.0266006;05.06.2019 09:34:03.746;20.4750977;
