Name;Group4_infiltration_grass;
Description;;
Measure-Intervall;00:00:01;
;;

Time SN:46121 (S30X):P1;SN:46121 (S30X):P1 bar;Time SN:46121 (S30X):TOB1;SN:46121 (S30X):TOB1 Â°C;Time SN:46133 (S30X):P1;SN:46133 (S30X):P1 bar;Time SN:46133 (S30X):TOB1;SN:46133 (S30X):TOB1 Â°C;
05.06.2019 16:03:27.527;-0.0091833;05.06.2019 16:03:27.553;32.8944702;05.06.2019 16:03:27.571;-0.0103703;05.06.2019 16:03:27.600;32.9935913;
05.06.2019 16:03:28.531;-0.0091787;05.06.2019 16:03:28.560;32.885498;05.06.2019 16:03:28.578;-0.0103887;05.06.2019 16:03:28.602;33.0204468;
05.06.2019 16:03:29.531;-0.0091639;05.06.2019 16:03:29.552;32.885498;05.06.2019 16:03:29.568;-0.0104044;05.06.2019 16:03:29.584;33.0204468;
05.06.2019 16:03:30.522;-0.0091612;05.06.2019 16:03:30.543;32.8764648;05.06.2019 16:03:30.559;-0.0104161;05.06.2019 16:03:30.576;33.0384521;
05.06.2019 16:03:31.512;-0.0091538;05.06.2019 16:03:31.535;32.8764648;05.06.2019 16:03:31.550;-0.0104117;05.06.2019 16:03:31.566;33.0384521;
05.06.2019 16:03:32.512;-0.0091464;05.06.2019 16:03:32.526;32.8675537;05.06.2019 16:03:32.542;-0.0104189;05.06.2019 16:03:32.558;33.0563354;
05.06.2019 16:03:33.512;-0.0091416;05.06.2019 16:03:33.533;32.8675537;05.06.2019 16:03:33.549;-0.0104257;05.06.2019 16:03:33.565;33.0563354;
05.06.2019 16:03:34.502;-0.0091404;05.06.2019 16:03:34.525;32.8585815;05.06.2019 16:03:34.542;-0.0104293;05.06.2019 16:03:34.557;33.0742798;
05.06.2019 16:03:35.502;-0.0091338;05.06.2019 16:03:35.517;32.8585815;05.06.2019 16:03:35.532;-0.0104367;05.06.2019 16:03:35.548;33.0742798;
05.06.2019 16:03:36.502;-0.0091201;05.06.2019 16:03:36.523;32.8405762;05.06.2019 16:03:36.539;-0.0104591;05.06.2019 16:03:36.555;33.1011963;
05.06.2019 16:03:37.492;-0.0091098;05.06.2019 16:03:37.514;32.8405762;05.06.2019 16:03:37.530;-0.0104626;05.06.2019 16:03:37.546;33.1011963;
05.06.2019 16:03:38.492;-0.0091063;05.06.2019 16:03:38.506;32.831604;05.06.2019 16:03:38.522;-0.0104727;05.06.2019 16:03:38.538;33.1191406;
05.06.2019 16:03:39.492;-0.0090976;05.06.2019 16:03:39.513;32.831604;05.06.2019 16:03:39.529;-0.010474;05.06.2019 16:03:39.545;33.1191406;
05.06.2019 16:03:40.482;-0.0090951;05.06.2019 16:03:40.505;32.831604;05.06.2019 16:03:40.521;-0.0104848;05.06.2019 16:03:40.537;33.1460571;
05.06.2019 16:03:41.482;-0.0090902;05.06.2019 16:03:41.497;32.831604;05.06.2019 16:03:41.513;-0.0104814;05.06.2019 16:03:41.528;33.1460571;
05.06.2019 16:03:42.482;-0.009082;05.06.2019 16:03:42.504;32.8137207;05.06.2019 16:03:42.520;-0.0104941;05.06.2019 16:03:42.536;33.1549683;
05.06.2019 16:03:43.482;-0.0090826;05.06.2019 16:03:43.511;32.8137207;05.06.2019 16:03:43.527;-0.010517;05.06.2019 16:03:43.543;33.1549683;
05.06.2019 16:03:44.481;-0.0090829;05.06.2019 16:03:44.503;32.8137207;05.06.2019 16:03:44.519;-0.0105101;05.06.2019 16:03:44.535;33.1819458;
