06-02079,Port1,Port2,Port3,Port4,Port4,Port4,Port5,Port5,Port6,Port6,Port7,Port7,Port8,Port8
# Records: 24601,10HS Soil Moisture,10HS Soil Moisture,10HS Soil Moisture,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 12 Moisture/Temp/EC,TEROS 21 Water Potential/Temp,TEROS 21 Water Potential/Temp,TEROS 21 Water Potential/Temp,TEROS 21 Water Potential/Temp,Battery,Battery,Barometer,Barometer
Timestamps, m³/m³ Water Content, m³/m³ Water Content, m³/m³ Water Content, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC, kPa Matric Potential, °C Soil Temperature, kPa Matric Potential, °C Soil Temperature,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
2018-09-14 12:30:00,0.135,0.158,0.146,0.081,17.0,5.436,-8384.9,17.5,-44801.8,17.0,100,6603,96.81,19.8
2018-09-14 12:45:00,0.135,0.157,0.146,0.081,16.9,5.901,-8441.0,17.5,-45122.7,17.0,100,6600,96.8,19.4
2018-09-14 13:00:00,0.135,0.157,0.146,0.082,16.9,5.001,-8611.8,17.5,-45278.9,17.0,100,6598,96.8,19.5
2018-09-14 13:15:00,0.135,0.157,0.146,0.081,16.9,5.605,-8556.5,17.5,-45425.1,17.0,100,6596,96.78,19.7
2018-09-14 13:30:00,0.135,0.157,0.146,0.082,16.9,5.131,-8570.3,17.5,-45550.7,17.0,100,6594,96.77,19.9
2018-09-14 13:45:00,0.135,0.157,0.146,0.081,16.9,5.401,-8381.0,17.5,-46783.8,17.0,100,6592,96.76,20.1
2018-09-14 14:00:00,0.135,0.157,0.146,0.081,16.9,5.942,-8548.6,17.5,-46622.5,17.0,100,6592,96.76,20.4
2018-09-14 14:15:00,0.135,0.157,0.146,0.081,16.9,5.401,-8367.5,17.5,-46440.4,17.0,100,6600,96.74,21.0
2018-09-14 14:30:00,0.134,0.157,0.146,0.081,16.9,6.948,-8419.7,17.5,-46697.7,17.0,100,6607,96.71,22.8
2018-09-14 14:45:00,0.135,0.157,0.146,0.081,16.9,6.547,-8481.9,17.5,-46483.1,17.0,100,6605,96.69,23.8
2018-09-14 15:00:00,0.135,0.157,0.146,0.081,16.9,7.238,-8499.5,17.5,-46386.9,17.0,100,6610,96.69,23.8
2018-09-14 15:15:00,0.135,0.157,0.147,0.081,16.9,8.944,-8448.8,17.6,-49158.1,17.0,100,6620,96.68,25.3
2018-09-14 15:30:00,0.135,0.157,0.147,0.081,16.9,7.516,-8375.2,17.6,-46472.4,17.0,100,6619,96.66,26.9
2018-09-14 15:45:00,0.136,0.157,0.147,0.081,16.9,7.155,-8411.9,17.6,-48718.7,17.0,100,6616,96.65,26.5
2018-09-14 16:00:00,0.136,0.157,0.146,0.081,16.9,7.447,-8197.8,17.6,-47086.4,17.0,100,6613,96.65,25.6
2018-09-14 16:15:00,0.136,0.157,0.146,0.081,16.9,5.795,-8209.1,17.7,-47336.4,17.0,100,6612,96.65,24.3
2018-09-14 16:30:00,0.136,0.157,0.145,0.081,16.9,6.126,-8018.5,17.8,-47369.1,17.0,100,6610,96.66,23.4
2018-09-14 16:45:00,0.137,0.157,0.145,0.081,16.9,5.807,-8089.0,17.8,-48617.8,17.0,100,6609,96.66,22.9
2018-09-14 17:00:00,0.137,0.157,0.145,0.081,16.9,6.25,-8029.6,17.9,-48528.3,17.0,100,6609,96.66,22.4
2018-09-14 17:15:00,0.137,0.157,0.145,0.081,16.9,6.25,-7877.6,17.9,-46999.7,17.0,100,6608,96.66,22.1
2018-09-14 17:30:00,0.137,0.157,0.145,0.081,16.9,5.715,-7996.4,18.0,-48819.7,17.0,100,6606,96.67,21.9
2018-09-14 17:45:00,0.137,0.157,0.145,0.081,16.9,5.401,-8090.9,18.0,-47906.6,17.0,100,6603,96.68,21.7
2018-09-14 18:00:00,0.137,0.157,0.145,0.081,16.9,5.541,-7751.7,18.1,-45951.1,16.9,100,6603,96.68,21.5
2018-09-14 18:15:00,0.137,0.157,0.145,0.082,16.9,5.329,-7857.7,18.1,-47401.9,16.9,100,6603,96.69,21.3
2018-09-14 18:30:00,0.137,0.157,0.145,0.082,16.9,4.968,-7717.8,18.2,-46035.8,16.9,100,6601,96.7,21.0
2018-09-14 18:45:00,0.137,0.157,0.145,0.082,16.9,5.082,-7654.1,18.2,-46344.2,16.9,100,6601,96.7,20.7
2018-09-14 19:00:00,0.137,0.157,0.144,0.082,16.9,4.87,-7511.0,18.2,-48977.4,16.9,100,6597,96.71,20.4
2018-09-14 19:15:00,0.137,0.157,0.144,0.082,16.9,4.922,-7351.8,18.3,-48138.8,16.9,100,6596,96.73,20.1
2018-09-14 19:30:00,0.137,0.157,0.144,0.082,16.9,5.25,-7196.1,18.3,-46794.6,16.9,100,6599,96.73,19.9
2018-09-14 19:45:00,0.137,0.157,0.144,0.082,16.9,5.391,-7336.6,18.3,-50395.9,16.9,100,6599,96.74,19.7
2018-09-14 20:00:00,0.137,0.157,0.144,0.082,16.9,5.082,-7401.1,18.3,-49067.7,16.9,100,6597,96.76,19.6
2018-09-14 20:15:00,0.137,0.157,0.144,0.081,16.9,5.696,-6870.6,18.4,-49635.9,16.9,100,6595,96.78,19.4
2018-09-14 20:30:00,0.137,0.157,0.144,0.082,16.9,4.87,-7058.2,18.4,-48094.5,17.0,100,6594,96.79,19.2
2018-09-14 20:45:00,0.137,0.157,0.144,0.082,16.9,5.391,-6876.9,18.4,-50419.1,17.0,100,6592,96.81,19.0
2018-09-14 21:00:00,0.137,0.157,0.144,0.082,16.9,4.991,-6947.0,18.4,-49830.5,17.0,100,6595,96.83,18.8
2018-09-14 21:15:00,0.137,0.157,0.144,0.082,16.9,5.117,-6886.5,18.4,-48977.4,17.0,100,6592,96.85,18.6
2018-09-14 21:30:00,0.137,0.157,0.144,0.082,16.9,5.25,-6956.6,18.4,-49430.6,17.0,100,6593,96.85,18.4
2018-09-14 21:45:00,0.137,0.157,0.144,0.082,16.9,4.991,-7239.3,18.4,-46816.1,17.0,100,6590,96.87,18.2
2018-09-14 22:00:00,0.137,0.157,0.144,0.082,16.9,5.117,-6967.8,18.4,-48094.5,17.0,100,6590,96.86,18.0
2018-09-14 22:15:00,0.137,0.157,0.144,0.082,16.9,5.25,-7053.4,18.4,-46913.2,17.0,100,6588,96.86,17.7
2018-09-14 22:30:00,0.137,0.157,0.144,0.082,16.9,5.117,-6939.0,18.4,-46730.0,17.0,100,6586,96.87,17.5
2018-09-14 22:45:00,0.137,0.157,0.144,0.081,16.9,5.539,-6804.5,18.4,-44034.7,17.0,100,6587,96.88,17.3
2018-09-14 23:00:00,0.137,0.157,0.144,0.082,16.9,4.87,-6969.4,18.4,-43641.1,17.0,100,6586,96.89,17.1
2018-09-14 23:15:00,0.137,0.157,0.144,0.082,17.0,4.989,-6934.2,18.4,-46440.4,17.0,100,6587,96.9,16.9
2018-09-14 23:30:00,0.137,0.157,0.144,0.082,17.0,4.868,-6619.0,18.4,-46762.3,17.0,100,6583,96.91,16.7
2018-09-14 23:45:00,0.138,0.157,0.144,0.082,17.0,4.868,-6963.0,18.4,-45866.5,17.0,100,6586,96.92,16.5
2018-09-15 00:00:00,0.138,0.157,0.144,0.082,17.0,4.988,-6867.4,18.4,-44340.0,17.0,100,6584,96.93,16.3
2018-09-15 00:15:00,0.138,0.157,0.144,0.082,17.0,5.115,-6807.6,18.3,-46237.6,17.0,100,6574,96.93,16.3
2018-09-15 00:30:00,0.138,0.157,0.144,0.082,17.0,4.743,-6784.2,18.3,-45216.4,17.0,100,6577,96.93,16.2
2018-09-15 00:45:00,0.138,0.157,0.144,0.082,17.0,4.977,-6974.2,18.3,-42256.7,17.0,100,6575,96.94,16.0
2018-09-15 01:00:00,0.138,0.157,0.144,0.082,17.0,4.732,-6923.0,18.3,-42903.8,17.0,100,6573,96.95,16.0
2018-09-15 01:15:00,0.138,0.157,0.144,0.082,17.0,4.868,-7074.5,18.3,-45164.3,17.0,100,6575,96.96,15.9
2018-09-15 01:30:00,0.138,0.157,0.144,0.082,17.0,5.115,-7136.7,18.2,-42052.9,17.0,100,6574,96.98,15.8
2018-09-15 01:45:00,0.138,0.157,0.144,0.082,17.0,4.988,-6859.5,18.2,-44360.4,17.0,100,6571,96.98,15.9
2018-09-15 02:00:00,0.138,0.157,0.144,0.082,17.0,4.754,-7032.3,18.2,-43340.7,17.0,100,6571,96.99,15.9
2018-09-15 02:15:00,0.138,0.157,0.144,0.082,17.0,5.236,-7144.9,18.2,-44698.8,17.0,100,6572,96.98,15.9
2018-09-15 02:30:00,0.138,0.157,0.144,0.082,17.0,4.988,-7206.0,18.2,-41859.6,17.0,100,6571,96.98,15.9
2018-09-15 02:45:00,0.138,0.157,0.144,0.082,17.0,4.857,-7102.2,18.1,-44493.4,17.0,100,6570,96.99,15.9
2018-09-15 03:00:00,0.138,0.157,0.144,0.082,17.0,4.868,-7262.7,18.1,-40953.9,17.0,100,6571,96.99,15.8
2018-09-15 03:15:00,0.138,0.157,0.144,0.082,17.0,5.103,-7224.3,18.1,-42884.0,17.0,100,6569,96.99,15.8
2018-09-15 03:30:00,0.138,0.157,0.144,0.082,17.0,5.376,-7077.8,18.1,-42706.6,17.0,100,6568,97.0,15.8
2018-09-15 03:45:00,0.138,0.157,0.144,0.082,17.0,5.115,-7566.5,18.0,-39847.0,17.0,100,6568,97.0,15.8
