"Date_CET";"P2.1";"P3.2";"P7.2";"P6.2";"P6.1";"P4.1"
2018-09-05;436.775103253595;436.41719551438;436.514574305052;436.595927297805;436.630800398097;NA
2018-09-06;436.77518405055;436.417273596253;436.514649816141;436.595985551073;436.630861672507;436.288917286733
2018-09-07;436.775345997162;436.417435348335;436.514793628788;436.5961262909;436.631007239365;436.28900957938
2018-09-08;436.775450564371;436.417543312812;436.514907315051;436.596214592237;436.631101963053;436.289180540303
2018-09-09;436.775542844241;436.417641410848;436.515009548283;436.596319470832;436.631209492205;436.289267400898
2018-09-10;436.775632147518;436.417731071823;436.515089528754;436.596389712768;436.63128385587;436.289372834866
2018-09-11;436.77569627476;436.417797973606;436.515157843156;436.596435192216;436.631334692644;436.289441187233
2018-09-12;436.775720853868;436.41782363606;436.515195900901;436.596472920589;436.631373815542;436.289477295192
2018-09-13;436.775751275573;436.417854361722;436.515230420258;436.596500110158;436.631404530832;436.289510592033
2018-09-14;436.775823164137;436.417926409565;436.51527864479;436.596558857202;436.631463873689;436.289570052568
2018-09-15;436.77591148144;436.418014041536;NA;NA;NA;436.28961067684
2018-09-16;NA;NA;436.515394073571;NA;NA;NA
2018-09-19;NA;NA;436.515488260512;436.596778684974;436.631691135234;NA
2018-09-20;NA;NA;436.515491066812;436.5967771768;436.631688628093;NA
2018-09-21;NA;NA;436.515491908543;436.596775817862;436.631688054827;NA
2018-09-22;NA;NA;436.515495998483;436.596789139917;436.63170174804;NA
2018-09-23;NA;NA;436.515518508811;436.596794119121;436.631707094049;NA
2018-09-24;NA;NA;436.515528807381;436.596785664252;436.631698714679;436.289819915251
2018-09-25;NA;NA;436.515504766428;436.596798533209;436.631713204708;436.289790133779
2018-09-26;436.776123568352;436.418225898507;436.515526143072;436.596793989738;436.63170709909;436.289817013046
2018-09-27;436.776103074032;436.418204974793;436.515528571648;436.596794819127;436.631709644249;436.289807539709
2018-09-28;436.776113923446;436.418215715837;436.515512240566;436.596788347044;436.631702917811;436.289794095395
2018-09-29;436.776061780041;436.418163800655;436.515483404278;436.596736162685;436.631654186015;436.289764647178
2018-09-30;436.776086543857;436.418188312886;436.51550185875;436.596757921181;436.631671152691;436.289809703635
2018-10-01;436.776065185883;436.418167523785;436.515521213805;436.596774656096;436.631687451256;436.289810977862
2018-10-03;NA;NA;436.515520906114;436.596803869383;436.631719472187;NA
2018-10-04;436.776062269493;436.418165113328;436.515507911305;436.596762048653;436.631676702309;436.289806307008
2018-10-05;436.776060351564;436.418162114349;436.515513938302;436.596761912784;436.631675770498;436.289798878776
2018-10-06;436.776052455885;436.418154698385;436.515501776066;436.596753597897;436.631666244023;436.289794922276
2018-10-07;436.776059466808;436.418161541724;436.515505326933;436.596757395936;436.631669290362;436.289798315181
2018-10-08;436.776056129731;436.418159066939;436.515501478333;436.596749686719;436.631662760523;436.289799391386
2018-10-09;436.776062369619;436.41816470756;436.515481842509;436.596730930021;436.631649060208;436.289775429214
2018-10-10;NA;NA;436.515447382003;436.596697712191;436.631611962842;NA
2018-10-11;NA;NA;436.515442595129;436.596691937954;436.631608366621;NA
2018-10-12;NA;NA;436.515403116623;436.596654848593;436.63157099892;NA
2018-10-13;NA;NA;436.515361714489;436.596624411496;436.631540453102;436.289652549078
2018-10-14;NA;NA;436.515296831494;436.596559884381;436.631473916339;436.289601617751
2018-10-15;NA;NA;436.515250066588;436.596509936722;436.63142203501;NA
2018-10-16;NA;NA;436.515210813226;436.596475515091;436.631389904787;NA
2018-10-17;NA;NA;436.515147097238;436.596413577311;436.631326897729;NA
2018-10-18;NA;NA;436.515087858393;436.596352381894;436.631264360699;NA
2018-10-19;NA;NA;436.51503415573;436.596299721899;436.631211562754;NA
2018-10-20;NA;NA;436.515060208657;436.596313119165;436.631219845839;NA
2018-10-21;NA;NA;436.515137692667;436.596372585152;436.631282406178;NA
2018-10-22;436.775725054879;436.417831601402;436.515178753733;436.596417838607;436.631329390802;436.289474266976
2018-10-23;436.775725023089;436.417831039661;436.515158852363;436.59638067657;436.631297271785;436.289443681849
