No;Datetime [local time]Europe/Zurich;Datetime [UTC];p [bar] - luiw_arc1_269;T Sonde [°C] - luiw_arc1_269;PBaro [bar] - luiw_arc1_269;TBaro [°C] - luiw_arc1_269;Conductivity Tc [mS/cm] - luiw_arc1_269;p Sonde 2 [bar] - luiw_arc1_269;p Sonde 3 [bar] - luiw_arc1_269;T Sonde 2 [°C] - luiw_arc1_269;T Sonde 3 [°C] - luiw_arc1_269;Conductivity Tc (2) [mS/cm] - luiw_arc1_269;Conductivity Tc (3) [mS/cm] - luiw_arc1_269
1;2018-06-05 22:20:14.312;2018-06-05T20:20:14.312Z;0.958268404;23.559875488;0.957759976;23.319999695;;;;;;;
2;2018-06-05 22:25:06.277;2018-06-05T20:25:06.277Z;0.958264828;23.136535645;0.957499981;23.350000381;;;;;;;
3;2018-06-05 22:30:06.283;2018-06-05T20:30:06.283Z;0.958291292;22.468322754;0.95747;23.219999313;;;;;;;
4;2018-06-05 22:40:06.299;2018-06-05T20:40:06.299Z;0.958287954;22.157287598;0.957859993;22.799999237;;;;;;;
5;2018-06-06 04:05:07.891;2018-06-06T02:05:07.891Z;0.960223436;21.172241211;0.959999979;21.209999084;;;;;;;
6;2018-06-06 07:05:07.905;2018-06-06T05:05:07.905Z;0.961047411;20.780395508;0.960780025;21.059999466;;;;;;;
7;2018-06-06 07:20:07.903;2018-06-06T05:20:07.903Z;0.960964918;20.301452637;0.960690022;20.850000381;;;;;;;
8;2018-06-06 07:45:07.889;2018-06-06T05:45:07.889Z;0.961058855;20.260253906;0.960799992;20.569999695;;;;;;;
9;2018-06-06 08:00:07.902;2018-06-06T06:00:07.902Z;0.961135864;20.36517334;0.960910022;20.540000916;;;;;;;
10;2018-06-06 09:15:07.899;2018-06-06T07:15:07.899Z;0.961694479;21.313842773;0.961470008;20.989999771;;;;;;;
11;2018-06-08 08:05:14.198;2018-06-08T06:05:14.198Z;0.962558746;21.175964355;0.962090015;21.38999939;;;;;;;
12;2018-06-08 08:10:06.199;2018-06-08T06:10:06.199Z;0.962797642;21.034301758;0.962310016;21.459999084;;;;;;;
13;2018-06-15 09:08:11.837;2018-06-15T07:08:11.837Z;0.966202736;19.354614258;0.956420004;20.469999313;;;;;;;
14;2018-06-15 09:12:56.063;2018-06-15T07:12:56.063Z;0.966253996;19.350830078;0.956550002;20.469999313;;;;;;;
15;2018-06-15 09:22:56.053;2018-06-15T07:22:56.053Z;0.966289043;19.181152344;0.956560016;20.190000534;;;;;;;
16;2018-06-15 09:27:56.141;2018-06-15T07:27:56.141Z;0.96624279;19.132080078;0.95648998;20.200000763;;;;;;;
17;2018-06-15 09:32:56.068;2018-06-15T07:32:56.068Z;0.966212273;19.10949707;0.956480026;20.280000687;;;;;;;
18;2018-06-15 09:37:56.067;2018-06-15T07:37:56.067Z;0.966212749;19.16229248;0.956510007;20.420000076;;;;;;;
19;2018-06-15 09:42:56.071;2018-06-15T07:42:56.071Z;0.966192245;19.215148926;0.956459999;20.61000061;;;;;;;
20;2018-06-15 09:47:56.066;2018-06-15T07:47:56.066Z;0.966184378;19.22265625;0.956449986;20.799999237;;;;;;;
21;2018-06-15 09:52:56.110;2018-06-15T07:52:56.110Z;0.9661901;19.241516113;0.956480026;20.969999313;;;;;;;
22;2018-06-15 09:57:56.051;2018-06-15T07:57:56.051Z;0.966152906;19.324401855;0.956399977;21.129999161;;;;;;;
23;2018-06-15 10:07:56.068;2018-06-15T08:07:56.068Z;0.966097593;19.403503418;0.956350029;21.5;;;;;;;
24;2018-06-15 10:12:56.060;2018-06-15T08:12:56.060Z;0.966115475;19.407287598;0.956340015;21.620000839;;;;;;;
25;2018-06-15 10:17:56.071;2018-06-15T08:17:56.071Z;0.966145515;19.422424316;0.956409991;21.590000153;;;;;;;
26;2018-06-15 10:22:56.054;2018-06-15T08:22:56.054Z;0.966149092;19.49395752;0.956430018;21.540000916;;;;;;;
27;2018-06-15 10:27:56.109;2018-06-15T08:27:56.109Z;0.966139317;19.550415039;0.956369996;21.620000839;;;;;;;
28;2018-06-15 10:32:56.054;2018-06-15T08:32:56.054Z;0.966147661;19.580505371;0.956420004;21.75;;;;;;;
29;2018-06-15 10:42:56.060;2018-06-15T08:42:56.060Z;0.966089725;19.746032715;0.956290007;21.969999313;;;;;;;
30;2018-06-15 10:47:56.052;2018-06-15T08:47:56.052Z;0.966117382;19.896362305;0.956369996;22.270000458;;;;;;;
31;2018-06-15 10:52:56.069;2018-06-15T08:52:56.069Z;0.96608758;20.027709961;0.956330001;22.590000153;;;;;;;
32;2018-06-15 10:57:56.097;2018-06-15T08:57:56.097Z;0.966032267;20.177734375;0.956219971;22.959999084;;;;;;;
33;2018-06-15 11:02:56.062;2018-06-15T09:02:56.062Z;0.966029644;20.297729492;0.956210017;23.399999619;;;;;;;
34;2018-06-15 11:22:56.053;2018-06-15T09:22:56.053Z;0.966064453;20.985778809;0.956110001;24.559999466;;;;;;;
35;2018-06-15 11:27:56.070;2018-06-15T09:27:56.070Z;0.966100454;21.13873291;0.956160009;24.909999847;;;;;;;
36;2018-06-15 11:32:56.052;2018-06-15T09:32:56.052Z;0.966107368;21.328796387;0.956219971;25.290000916;;;;;;;
37;2018-06-15 11:37:56.074;2018-06-15T09:37:56.074Z;0.966125488;21.526000977;0.956149995;25.739999771;;;;;;;
38;2018-06-15 11:42:56.057;2018-06-15T09:42:56.057Z;0.966163635;21.745300293;0.956130028;26.180000305;;;;;;;
39;2018-06-15 11:47:56.057;2018-06-15T09:47:56.057Z;0.966123581;21.682189941;0.956239998;26.440000534;;;;;;;
40;2018-06-15 11:57:56.066;2018-06-15T09:57:56.066Z;0.966098309;21.272827148;0.956229985;25.63999939;;;;;;;
41;2018-06-15 12:02:56.065;2018-06-15T10:02:56.065Z;0.966144562;21.604125977;0.956239998;25.209999084;;;;;;;
42;2018-06-15 12:07:56.056;2018-06-15T10:07:56.056Z;0.966175556;21.960693359;0.956210017;25.530000687;;;;;;;
43;2018-06-15 12:12:56.062;2018-06-15T10:12:56.062Z;0.966184616;22.127563477;0.956250012;26.200000763;;;;;;;
44;2018-07-10 11:35:14.339;2018-07-10T09:35:14.339Z;0.962991476;22.730773926;0.956250012;27.829999924;0.327780485;;;;;;
45;2018-07-10 11:40:14.345;2018-07-10T09:40:14.345Z;0.962952852;22.826782227;0.956229985;27.88999939;0.327759385;;;;;;
46;2018-07-10 11:50:14.341;2018-07-10T09:50:14.341Z;0.962885141;23.040771484;0.95630002;28.260000229;0.327685475;;;;;;
47;2018-07-10 11:55:14.356;2018-07-10T09:55:14.356Z;0.962868929;23.151367188;0.95630002;28.629999161;0.327655226;;;;;;
48;2018-07-10 12:00:14.348;2018-07-10T10:00:14.348Z;0.96291256;23.269226074;0.956080019;29.040000916;0.32774204;;;;;;
49;2018-07-10 12:10:14.337;2018-07-10T10:10:14.337Z;0.962899685;23.493713379;0.956059992;29.719999313;0.327664733;;;;;;
50;2018-07-10 12:15:14.347;2018-07-10T10:15:14.347Z;0.962868929;23.604003906;0.955959976;29.920000076;0.32762599;;;;;;
51;2018-07-10 12:20:14.337;2018-07-10T10:20:14.337Z;0.962811708;23.714172363;0.955869973;30.049999237;0.327490717;;;;;;
52;2018-07-10 12:25:14.345;2018-07-10T10:25:14.345Z;0.962882042;23.824401855;0.955839992;30.129999161;0.32745564;;;;;;
53;2018-07-10 12:35:14.344;2018-07-10T10:35:14.344Z;0.962852478;24.026123047;0.955760002;30.11000061;0.327273667;;;;;;
54;2018-07-10 12:40:14.354;2018-07-10T10:40:14.354Z;0.962827206;24.121520996;0.955780029;30.040000916;0.327098817;;;;;;
55;2018-07-10 12:50:14.342;2018-07-10T10:50:14.342Z;0.962817192;24.311950684;0.955829978;29.88999939;0.326971561;;;;;;
56;2018-07-10 14:00:14.337;2018-07-10T12:00:14.337Z;0.962653637;25.635742188;0.955470026;30.88999939;0.325997949;;;;;;
57;2018-07-10 14:05:14.350;2018-07-10T12:05:14.350Z;0.962713242;25.715698242;0.955449998;30.790000916;0.325874567;;;;;;
58;2018-07-10 14:10:14.438;2018-07-10T12:10:14.438Z;0.962659836;25.795593262;0.955550015;30.649999619;0.325661719;;;;;;
59;2018-07-10 14:15:14.357;2018-07-10T12:15:14.357Z;0.962651968;25.868164062;0.955460012;30.459999084;0.325499237;;;;;;
60;2018-07-10 14:20:14.345;2018-07-10T12:20:14.345Z;0.962584019;25.940734863;0.95551002;30.299999237;0.325267017;;;;;;
61;2018-07-10 14:30:14.344;2018-07-10T12:30:14.344Z;0.962527514;26.071228027;0.95529002;29.989999771;0.324953854;;;;;;
62;2018-07-10 14:35:14.342;2018-07-10T12:35:14.342Z;0.962498903;26.136474609;0.95539999;29.88999939;0.324892104;;;;;;
63;2018-07-10 14:40:14.558;2018-07-10T12:40:14.558Z;0.96242404;26.201660156;0.955370009;29.790000916;0.32479921;;;;;;
64;2018-07-10 14:50:14.353;2018-07-10T12:50:14.353Z;0.962326765;26.328430176;0.955280006;29.75;0.3247329;;;;;;
65;2018-07-10 15:00:14.352;2018-07-10T13:00:14.352Z;0.962331057;26.465881348;0.955320001;29.899999619;0.32474187;;;;;;
66;2018-07-10 15:05:14.350;2018-07-10T13:05:14.350Z;0.962215185;26.534545898;0.955280006;30.069999695;0.324792832;;;;;;
67;2018-07-10 15:10:14.357;2018-07-10T13:10:14.357Z;0.962167978;26.610473633;0.955160022;30.270000458;0.324654549;;;;;;
68;2018-07-10 15:20:14.343;2018-07-10T13:20:14.343Z;0.962138891;26.755004883;0.955250025;30.670000076;0.324426621;;;;;;
69;2018-07-10 15:35:14.353;2018-07-10T13:35:14.353Z;0.962138653;27.007629395;0.955429971;31.569999695;0.324114323;;;;;;
70;2018-07-10 15:40:14.344;2018-07-10T13:40:14.344Z;0.962118864;27.101257324;0.955280006;32;0.324062169;;;;;;
71;2018-07-10 15:50:14.356;2018-07-10T13:50:14.356Z;0.961979866;27.299438477;0.955169976;32.979999542;0.324055105;;;;;;
72;2018-07-10 16:10:14.362;2018-07-10T14:10:14.362Z;0.961872339;27.738098145;0.955009997;34.799999237;0.324127048;;;;;;
73;2018-07-10 16:15:14.353;2018-07-10T14:15:14.353Z;0.961819887;27.849365234;0.954770029;35.180000305;0.324023873;;;;;;
74;2018-07-10 16:20:14.369;2018-07-10T14:20:14.369Z;0.961687565;27.964233398;0.954729974;35.479999542;0.323851556;;;;;;
75;2018-07-10 16:25:14.362;2018-07-10T14:25:14.362Z;0.961735964;28.075439453;0.954710007;35.709999084;0.323644757;;;;;;
76;2018-07-10 16:30:14.350;2018-07-10T14:30:14.350Z;0.96175766;28.186462402;0.954569995;35.849998474;0.323436499;;;;;;
77;2018-07-10 16:40:14.352;2018-07-10T14:40:14.352Z;0.961772203;28.387084961;0.954519987;35.849998474;0.323069274;;;;;;
78;2018-07-10 16:45:14.359;2018-07-10T14:45:14.359Z;0.961745977;28.480102539;0.954509974;35.740001678;0.322895586;;;;;;
79;2018-07-10 16:50:14.400;2018-07-10T14:50:14.400Z;0.961786032;28.569519043;0.954419971;35.580001831;0.322705835;;;;;;
80;2018-07-10 16:55:14.349;2018-07-10T14:55:14.349Z;0.96178484;28.651733398;0.954410017;35.380001068;0.322550774;;;;;;
81;2018-07-10 17:00:14.352;2018-07-10T15:00:14.352Z;0.961750507;28.726806641;0.954400003;35.130001068;0.322248667;;;;;;
82;2018-07-10 17:05:14.345;2018-07-10T15:05:14.345Z;0.961788893;28.798217773;0.954429984;34.849998474;0.321997046;;;;;;
83;2018-07-10 17:10:14.363;2018-07-10T15:10:14.363Z;0.961847544;28.869628906;0.954469979;34.560001373;0.321780443;;;;;;
84;2018-07-10 17:15:14.346;2018-07-10T15:15:14.346Z;0.961925745;28.933837891;0.954469979;34.299999237;0.321629614;;;;;;
85;2018-07-10 17:20:14.382;2018-07-10T15:20:14.382Z;0.96185565;28.987365723;0.954469979;34.029998779;0.321251184;;;;;;
86;2018-07-10 17:25:14.352;2018-07-10T15:25:14.352Z;0.96186614;29.037353516;0.954370022;33.720001221;0.321127355;;;;;;
87;2018-07-10 17:30:14.351;2018-07-10T15:30:14.351Z;0.961929321;29.072998047;0.954400003;33.380001068;0.32105267;;;;;;
88;2018-07-10 17:50:14.352;2018-07-10T15:50:14.352Z;0.961963654;28.994506836;0.954559982;32.080001831;0.322043598;;;;;;
89;2018-07-10 17:55:14.370;2018-07-10T15:55:14.370Z;0.962014675;28.95880127;0.954599977;31.840000153;0.322128266;;;;;;
